Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	8	8	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	4	4	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
ndam1251	Ndam	Afro-Asiatic	Africa	41	35	31	88.57
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	25	22	88
giiw1236	Giiwo	Afro-Asiatic	Africa	70	60	52	86.67
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	44	38	86.36
sham1280	Shambala	Atlantic-Congo	Africa	118	69	59	85.51
yaka1272	Yaka (Central African Republic)	Atlantic-Congo	Africa	140	78	66	84.62
kera1255	Kera	Afro-Asiatic	Africa	178	103	87	84.47
mund1326	Mündü	Atlantic-Congo	Africa	120	77	65	84.42
ndob1238	Ndobo	Atlantic-Congo	Africa	85	57	48	84.21
geru1240	Geruma	Afro-Asiatic	Africa	66	62	52	83.87
beel1236	Beele	Afro-Asiatic	Africa	52	49	41	83.67
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	5	83.33
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	35	29	82.86
gala1264	Galambu	Afro-Asiatic	Africa	79	69	57	82.61
haus1257	Hausa	Afro-Asiatic	Africa	91	46	38	82.61
libi1244	Libinza	Atlantic-Congo	Africa	134	78	64	82.05
bela1256	Belanda Bor	Nilotic	Africa	76	50	41	82
papa1268	Papar	Austronesian	Papunesia	47	22	18	81.82
paaa1242	Pa'a	Afro-Asiatic	Africa	183	98	80	81.63
nubi1253	Nubi	Afro-Asiatic	Africa	168	87	71	81.61
noon1242	Noon	Atlantic-Congo	Africa	188	102	83	81.37
buku1249	Bukusu	Atlantic-Congo	Africa	52	32	26	81.25
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	89	72	80.9
marg1265	Marghi Central	Afro-Asiatic	Africa	184	103	83	80.58
cori1240	Cori	Atlantic-Congo	Africa	139	82	66	80.49
mamb1294	Mambai	Atlantic-Congo	Africa	168	97	78	80.41
bobo1255	Bobongko	Austronesian	Papunesia	73	51	41	80.39
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	51	41	80.39
monz1249	Monzombo	Atlantic-Congo	Africa	119	71	57	80.28
baba1266	Babanki	Atlantic-Congo	Africa	159	95	76	80
toor1238	Tooro	Atlantic-Congo	Africa	184	100	80	80
akoo1248	Akoose	Atlantic-Congo	Africa	185	99	79	79.8
teke1275	Latege	Atlantic-Congo	Africa	180	99	79	79.8
abip1241	Abipon	Guaicuruan	South America	129	79	63	79.75
gwen1239	Gweno	Atlantic-Congo	Africa	135	79	63	79.75
nzad1234	Nzadi	Atlantic-Congo	Africa	101	59	47	79.66
tivv1240	Tiv	Atlantic-Congo	Africa	110	59	47	79.66
kari1306	Kari	Atlantic-Congo	Africa	76	54	43	79.63
chal1275	Chaldean Neo-Aramaic	Afro-Asiatic	Eurasia	181	98	78	79.59
lika1243	Liko	Atlantic-Congo	Africa	165	88	70	79.55
gese1240	Geser-Gorom	Austronesian	Papunesia	69	39	31	79.49
buru1320	Burunge	Afro-Asiatic	Africa	180	102	81	79.41
soga1242	Soga	Atlantic-Congo	Africa	181	102	81	79.41
bolo1262	Boloki	Atlantic-Congo	Africa	144	82	65	79.27
maba1270	Mabaale	Atlantic-Congo	Africa	118	77	61	79.22
wawa1246	Wawa	Atlantic-Congo	Africa	188	101	80	79.21
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	86	68	79.07
koti1238	Koti	Atlantic-Congo	Africa	182	100	79	79
lagw1237	Lagwan	Afro-Asiatic	Africa	164	95	75	78.95
noon1243	Noone	Atlantic-Congo	Africa	172	95	75	78.95
orma1241	Orma	Afro-Asiatic	Africa	128	76	60	78.95
pele1245	Pele-Ata		Papunesia	51	38	30	78.95
zamb1245	Zamba	Atlantic-Congo	Africa	152	95	75	78.95
makw1236	Makwe	Atlantic-Congo	Africa	86	52	41	78.85
keng1240	Kenga	Central Sudanic	Africa	124	80	63	78.75
nort2864	Wemale	Austronesian	Papunesia	76	47	37	78.72
luya1241	Luyi	Atlantic-Congo	Africa	172	98	77	78.57
alag1248	Alagwa	Afro-Asiatic	Africa	183	102	80	78.43
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	102	80	78.43
maka1304	Makaa	Atlantic-Congo	Africa	159	92	72	78.26
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	78	61	78.21
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	64	50	78.12
kaon1241	Kaonde	Atlantic-Congo	Africa	120	73	57	78.08
gida1247	Gidar	Afro-Asiatic	Africa	80	41	32	78.05
bush1247	Bushoong	Atlantic-Congo	Africa	184	100	78	78
gade1242	Gade	Atlantic-Congo	Africa	178	100	78	78
bekw1242	Bekwil	Atlantic-Congo	Africa	100	68	53	77.94
dual1243	Duala	Atlantic-Congo	Africa	138	77	60	77.92
