Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tean1237	Teanu	Austronesian	Papunesia	147	140	122	87.14
labu1248	Labu	Austronesian	Papunesia	154	140	121	86.43
karn1252	Karnai	Austronesian	Papunesia	142	136	117	86.03
alor1247	Alorese	Austronesian	Papunesia	168	153	131	85.62
hote1245	Hote	Austronesian	Papunesia	162	145	122	84.14
tane1237	Tanema	Austronesian	Papunesia	154	142	119	83.8
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	129	108	83.72
vano1237	Lovono	Austronesian	Papunesia	146	135	113	83.7
mans1260	Mansim	Hatam-Mansim	Papunesia	71	67	56	83.58
labo1244	Ninde	Austronesian	Papunesia	122	120	100	83.33
nati1244	Nati	Austronesian	Papunesia	127	119	99	83.19
west2650	Western Cham	Austronesian	Eurasia	151	142	118	83.1
adon1237	Adonara	Austronesian	Papunesia	165	153	127	83.01
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	141	117	82.98
lamo1244	Lamogai	Austronesian	Papunesia	135	128	106	82.81
mang1404	Mangga Buang	Austronesian	Papunesia	125	122	101	82.79
malu1245	Malua Bay	Austronesian	Papunesia	173	162	134	82.72
morm1235	Mor (Mor Islands)	Austronesian	Papunesia	148	138	114	82.61
ubir1237	Ubir	Austronesian	Papunesia	149	138	114	82.61
bagi1246	Bagirmi	Central Sudanic	Africa	167	149	123	82.55
west2548	West Damar	Austronesian	Papunesia	163	149	123	82.55
sout2896	Eastern Atadei	Austronesian	Papunesia	116	114	94	82.46
yabe1254	Yabem	Austronesian	Papunesia	95	89	73	82.02
bolg1251	Bolgo	Atlantic-Congo	Africa	78	77	63	81.82
lote1237	Lote	Austronesian	Papunesia	178	165	135	81.82
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	99	81	81.82
emae1237	Emae	Austronesian	Papunesia	156	148	121	81.76
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	137	112	81.75
iwal1237	Iwal	Austronesian	Papunesia	134	125	102	81.6
kung1259	Kungarakany		Australia	82	81	66	81.48
kupa1239	Kupang Malay	Austronesian	Papunesia	168	151	123	81.46
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	140	114	81.43
mpur1239	Mpur		Papunesia	185	170	138	81.18
arop1243	Arop-Lokep	Austronesian	Papunesia	161	154	125	81.17
viet1252	Vietnamese	Austroasiatic	Eurasia	140	122	99	81.15
biha1246	Bih	Austronesian	Eurasia	182	169	137	81.07
iban1264	Iban	Austronesian	Papunesia	188	168	136	80.95
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	131	106	80.92
tami1290	Tami	Austronesian	Papunesia	120	110	89	80.91
ngam1268	Ngambay	Central Sudanic	Africa	156	141	114	80.85
tuml1238	Tumleo	Austronesian	Papunesia	103	99	80	80.81
mara1399	Maragus	Austronesian	Papunesia	174	161	130	80.75
unua1237	Unua	Austronesian	Papunesia	192	171	138	80.7
waro1242	Waropen	Austronesian	Papunesia	137	119	96	80.67
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	103	83	80.58
baba1267	Baba Malay	Austronesian	Eurasia	191	169	136	80.47
buga1247	Bugan	Austroasiatic	Eurasia	190	169	136	80.47
muss1246	Mussau-Emira	Austronesian	Papunesia	90	87	70	80.46
lara1260	Larantuka Malay	Austronesian	Papunesia	169	153	123	80.39
akei1237	Akei	Austronesian	Papunesia	122	112	90	80.36
lewo1244	Lewotobi	Austronesian	Papunesia	189	168	135	80.36
paam1238	Paama	Austronesian	Papunesia	117	112	90	80.36
kimm1246	Kim	Atlantic-Congo	Africa	129	117	94	80.34
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	122	98	80.33
matb1237	Matbat	Austronesian	Papunesia	154	147	118	80.27
lach1248	Lachi	Tai-Kadai	Eurasia	167	152	122	80.26
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	126	101	80.16
muso1238	Musom	Austronesian	Papunesia	150	141	113	80.14
buga1250	Bugawac	Austronesian	Papunesia	191	170	136	80
kaur1267	Kaurna	Pama-Nyungan	Australia	48	45	36	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	44	80
oroh1237	Oroha	Austronesian	Papunesia	118	105	84	80
kaba1281	Kaba	Central Sudanic	Africa	166	149	119	79.87
khmu1256	Khmu	Austroasiatic	Eurasia	167	154	123	79.87
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	159	127	79.87
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	149	119	79.87
kunj1245	Kunjen	Pama-Nyungan	Australia	163	144	115	79.86
east2332	Eastern Bru	Austroasiatic	Eurasia	134	129	103	79.84
midd1327	Middle Watut	Austronesian	Papunesia	140	129	103	79.84
apma1240	Apma	Austronesian	Papunesia	194	173	138	79.77
kair1263	Kairiru	Austronesian	Papunesia	73	69	55	79.71
koka1244	Kokata	Pama-Nyungan	Australia	143	133	106	79.7
gese1240	Geser-Gorom	Austronesian	Papunesia	69	59	47	79.66
sioo1240	Sio	Austronesian	Papunesia	175	162	129	79.63
adze1240	Adzera	Austronesian	Papunesia	158	147	117	79.59
west2600	West Makian	North Halmahera	Papunesia	151	142	113	79.58
mban1263	Mbandja	Atlantic-Congo	Africa	162	151	120	79.47
blan1242	Blang	Austroasiatic	Eurasia	159	146	116	79.45
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	165	131	79.39
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	126	100	79.37
sobe1238	Sobei	Austronesian	Papunesia	130	121	96	79.34
lave1249	Brao	Austroasiatic	Eurasia	122	116	92	79.31
tang1347	Movono	Austronesian	Papunesia	159	145	115	79.31
lewo1242	Lewo	Austronesian	Papunesia	173	159	126	79.25
leme1238	Lemerig	Austronesian	Papunesia	164	154	122	79.22
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	173	137	79.19
reng1252	Rengao	Austroasiatic	Eurasia	172	163	129	79.14
ndog1248	Ndogo	Atlantic-Congo	Africa	177	158	125	79.11
bara1370	Baram Kayan	Austronesian	Papunesia	143	134	106	79.1
yako1252	Yakoma	Atlantic-Congo	Africa	143	134	106	79.1
mund1326	Mündü	Atlantic-Congo	Africa	120	110	87	79.09
nort2839	North Ambrym	Austronesian	Papunesia	174	153	121	79.08
obok1239	Obokuitai	Lakes Plain	Papunesia	157	153	121	79.08
vure1239	Vurës	Austronesian	Papunesia	194	172	136	79.07
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	172	136	79.07
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	62	49	79.03
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	143	113	79.02
tetu1245	Tetum	Austronesian	Papunesia	87	81	64	79.01
molo1266	Moloko	Afro-Asiatic	Africa	109	100	79	79
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	138	109	78.99
ngas1240	Ngas	Afro-Asiatic	Africa	176	157	124	78.98
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	171	135	78.95
gbay1278	Gbayi	Atlantic-Congo	Africa	58	57	45	78.95
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	57	45	78.95
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	133	105	78.95
term1237	Termanu	Austronesian	Papunesia	172	152	120	78.95
tsat1238	Tsat	Austronesian	Eurasia	183	166	131	78.92
hata1243	Hatam	Hatam-Mansim	Papunesia	96	90	71	78.89
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	71	56	78.87
jurm1239	Jur Modo	Central Sudanic	Africa	159	142	112	78.87
haro1237	Haroi	Austronesian	Eurasia	95	85	67	78.82
papu1250	Papuan Malay	Austronesian	Papunesia	191	170	134	78.82
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	151	119	78.81
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	66	52	78.79
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	132	104	78.79
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	66	52	78.79
ahom1240	Ahom	Tai-Kadai	Eurasia	178	160	126	78.75
lave1248	Laven	Austroasiatic	Eurasia	180	160	126	78.75
sooo1254	Sô	Austroasiatic	Eurasia	176	160	126	78.75
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	155	122	78.71
tong1308	Maniq	Austroasiatic	Eurasia	163	150	118	78.67
phai1238	Prai	Austroasiatic	Eurasia	186	164	129	78.66
kuyy1240	Kuy	Austroasiatic	Eurasia	174	159	125	78.62
avok1242	Avokaya	Central Sudanic	Africa	122	112	88	78.57
bian1252	Biangai	Goilalan	Papunesia	155	140	110	78.57
tutu1241	Tutuba	Austronesian	Papunesia	184	168	132	78.57
sema1266	Semai	Austroasiatic	Eurasia	141	121	95	78.51
meng1267	Mengen	Austronesian	Papunesia	98	93	73	78.49
uuuu1243	U	Austroasiatic	Eurasia	139	130	102	78.46
keoo1238	Kéo	Austronesian	Papunesia	187	167	131	78.44
tita1241	Titan	Austronesian	Papunesia	173	153	120	78.43
hano1246	Hano	Austronesian	Papunesia	183	162	127	78.4
waja1259	Waja	Atlantic-Congo	Africa	133	125	98	78.4
mala1479	Colloquial Malay	Austronesian	Eurasia	153	134	105	78.36
mayo1261	Mayogo	Atlantic-Congo	Africa	168	157	123	78.34
whit1269	Whitesands	Austronesian	Papunesia	167	157	123	78.34
nucl1417	Igbo	Atlantic-Congo	Africa	188	166	130	78.31
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	161	126	78.26
aheu1239	Thavung	Austroasiatic	Eurasia	192	170	133	78.24
bign1238	Big Nambas	Austronesian	Papunesia	181	170	133	78.24
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	165	129	78.18
loka1252	Lokaa	Atlantic-Congo	Africa	162	151	118	78.15
woii1237	Woi	Austronesian	Papunesia	191	169	132	78.11
huuu1240	Hu	Austroasiatic	Eurasia	175	155	121	78.06
naro1251	Narom	Austronesian	Papunesia	132	123	96	78.05
arak1252	Araki	Austronesian	Papunesia	194	173	135	78.03
tido1248	Tidore	North Halmahera	Papunesia	96	91	71	78.02
isna1241	Isnag	Austronesian	Papunesia	163	150	117	78
cent2314	Central Chong	Austroasiatic	Eurasia	187	168	131	77.98
waja1257	Wajarri	Pama-Nyungan	Australia	65	59	46	77.97
abee1242	Abé	Atlantic-Congo	Africa	142	127	99	77.95
anuf1239	Anufo	Atlantic-Congo	Africa	162	145	113	77.93
maee1241	Tirax	Austronesian	Papunesia	188	172	134	77.91
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	149	116	77.85
ware1253	Warembori	Austronesian	Papunesia	170	158	123	77.85
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	167	130	77.84
para1301	South Wa	Austroasiatic	Eurasia	185	167	130	77.84
geda1237	Gedaged	Austronesian	Papunesia	151	135	105	77.78
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	153	119	77.78
lubu1243	Lubuagan Kalinga	Austronesian	Papunesia	141	126	98	77.78
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	108	84	77.78
loni1238	Loniu	Austronesian	Papunesia	185	166	129	77.71
mudu1242	Muduapa	Austronesian	Papunesia	186	166	129	77.71
samb1305	Samba Leko	Atlantic-Congo	Africa	172	157	122	77.71
rere1240	Rerep	Austronesian	Papunesia	147	139	108	77.7
saaa1241	Sa	Austronesian	Papunesia	162	148	115	77.7
abad1241	Abadi	Austronesian	Papunesia	118	112	87	77.68
tibe1274	Tibea	Atlantic-Congo	Africa	95	85	66	77.65
west2396	Western Lawa	Austroasiatic	Eurasia	190	170	132	77.65
naka1262	Nakanai	Austronesian	Papunesia	173	156	121	77.56
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	156	121	77.56
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	147	114	77.55
shee1238	She	Hmong-Mien	Eurasia	162	147	114	77.55
dehu1237	Dehu	Austronesian	Papunesia	150	138	107	77.54
east2440	East Makian	Austronesian	Papunesia	95	89	69	77.53
bini1246	Bini	Atlantic-Congo	Africa	177	160	124	77.5
mani1235	Sougb	East Bird's Head	Papunesia	122	120	93	77.5
jiba1237	Jiba	Atlantic-Congo	Africa	120	111	86	77.48
kolu1245	Koluwawa	Austronesian	Papunesia	163	151	117	77.48
abun1252	Abun		Papunesia	195	173	134	77.46
amar1272	Amara	Austronesian	Papunesia	148	142	110	77.46
gaaa1244	Ga	Atlantic-Congo	Africa	133	124	96	77.42
rung1259	Rungus	Austronesian	Papunesia	137	124	96	77.42
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	31	24	77.42
kute1248	Kutep	Atlantic-Congo	Africa	163	146	113	77.4
siar1238	Siar-Lak	Austronesian	Papunesia	87	84	65	77.38
baba1268	Babatana	Austronesian	Papunesia	138	128	99	77.34
sout2857	Nahavaq	Austronesian	Papunesia	180	163	126	77.3
rade1240	Rade	Austronesian	Eurasia	167	154	119	77.27
taki1248	Takia	Austronesian	Papunesia	93	88	68	77.27
aree1239	Are	Austronesian	Papunesia	157	145	112	77.24
auuu1241	Au	Nuclear Torricelli	Papunesia	159	145	112	77.24
chra1242	Chrau	Austroasiatic	Eurasia	166	158	122	77.22
iliu1237	Ili'uun	Austronesian	Papunesia	168	158	122	77.22
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	171	132	77.19
idom1241	Idoma	Atlantic-Congo	Africa	144	127	98	77.17
tomb1244	Tombonuo	Austronesian	Papunesia	136	127	98	77.17
katb1237	Avava	Austronesian	Papunesia	183	162	125	77.16
furu1242	Furu	Central Sudanic	Africa	127	118	91	77.12
port1285	Port Sandwich	Austronesian	Papunesia	174	153	118	77.12
aoua1234	A'ou	Tai-Kadai	Eurasia	187	166	128	77.11
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	166	128	77.11
waim1251	Waima	Austronesian	Papunesia	186	166	128	77.11
mamv1243	Mamvu	Central Sudanic	Africa	136	131	101	77.1
khez1235	Khezha Naga	Sino-Tibetan	Eurasia	172	157	121	77.07
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	170	131	77.06
lame1260	Lamenu	Austronesian	Papunesia	126	122	94	77.05
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	122	94	77.05
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	135	104	77.04
mlab1235	Mlabri	Austroasiatic	Eurasia	182	161	124	77.02
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	126	97	76.98
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	152	117	76.97
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	65	50	76.92
akha1245	Akha	Sino-Tibetan	Eurasia	159	143	110	76.92
awar1249	Awar	Lower Sepik-Ramu	Papunesia	165	156	120	76.92
east2443	East Ambae	Austronesian	Papunesia	182	169	130	76.92
lend1245	Lendu	Central Sudanic	Africa	159	143	110	76.92
ling1265	Neverver	Austronesian	Papunesia	157	143	110	76.92
noku1237	Nokuku	Austronesian	Papunesia	156	143	110	76.92
pate1247	Patep	Austronesian	Papunesia	142	134	103	76.87
mele1250	Mele-Fila	Austronesian	Papunesia	115	108	83	76.85
mais1250	Maisin	Austronesian	Papunesia	176	164	126	76.83
berb1259	Berbice Creole Dutch	Indo-European	South America	170	151	116	76.82
khan1274	Kháng	Austroasiatic	Eurasia	168	151	116	76.82
stan1306	Standard Malay	Austronesian	Eurasia	190	168	129	76.79
piji1239	Pijin	Indo-European	Papunesia	154	142	109	76.76
sapu1248	Sapuan	Austroasiatic	Eurasia	152	142	109	76.76
tera1251	Tera	Afro-Asiatic	Africa	152	142	109	76.76
kaul1240	Kaulong	Austronesian	Papunesia	90	86	66	76.74
seim1238	Seimat	Austronesian	Papunesia	192	172	132	76.74
nyal1254	Belep	Austronesian	Papunesia	180	159	122	76.73
hili1240	Hiligaynon	Austronesian	Papunesia	77	73	56	76.71
kuna1268	Kunama		Africa	165	146	112	76.71
naru1238	Narungga	Pama-Nyungan	Australia	106	103	79	76.7
beli1260	Belize Kriol English	Indo-European	North America	130	120	92	76.67
meya1236	Meyah	East Bird's Head	Papunesia	96	90	69	76.67
siam1242	Siamou		Africa	134	120	92	76.67
dusn1237	Dusner	Austronesian	Papunesia	186	167	128	76.65
gebe1237	Gebe	Austronesian	Papunesia	129	124	95	76.61
gobu1238	Gobu	Atlantic-Congo	Africa	141	124	95	76.61
para1302	Para Naga	Sino-Tibetan	Eurasia	157	141	108	76.6
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	94	72	76.6
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	158	121	76.58
daak1235	Da'a Kaili	Austronesian	Papunesia	123	111	85	76.58
mort1237	Mortlockese	Austronesian	Papunesia	141	128	98	76.56
kens1248	Kensiu	Austroasiatic	Eurasia	164	145	111	76.55
domm1246	Dom	Nuclear Trans New Guinea	Papunesia	179	166	127	76.51
aros1241	Arosi	Austronesian	Papunesia	141	136	104	76.47
tugu1245	Tugun	Austronesian	Papunesia	168	153	117	76.47
chek1238	Cheke Holo	Austronesian	Papunesia	167	157	120	76.43
oldm1242	Old Mon	Austroasiatic	Eurasia	171	157	120	76.43
hyam1245	Hyam	Atlantic-Congo	Africa	93	89	68	76.4
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	144	110	76.39
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	165	126	76.36
mokl1243	Moklen	Austronesian	Eurasia	181	165	126	76.36
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	165	126	76.36
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	164	148	113	76.35
hung1275	Hung	Austroasiatic	Eurasia	142	131	100	76.34
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	131	100	76.34
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	169	129	76.33
nucl1240	Mumuye	Atlantic-Congo	Africa	170	156	119	76.28
sout2782	South Fali	Atlantic-Congo	Africa	177	156	119	76.28
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	139	106	76.26
maib1239	Maybrat-Karon		Papunesia	174	160	122	76.25
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	122	93	76.23
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	164	125	76.22
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	168	128	76.19
iama1237	Iamalele	Austronesian	Papunesia	107	105	80	76.19
jara1266	Jarai	Austronesian	Eurasia	156	147	112	76.19
unea1237	Uneapa	Austronesian	Papunesia	87	84	64	76.19
jeha1242	Jehai	Austroasiatic	Eurasia	162	151	115	76.16
bong1285	Bongo	Central Sudanic	Africa	146	130	99	76.15
lund1271	Lundayeh	Austronesian	Papunesia	141	130	99	76.15
pamo1252	Pamona	Austronesian	Papunesia	148	130	99	76.15
waig1244	Waigeo	Austronesian	Papunesia	176	155	118	76.13
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	155	118	76.13
azha1235	Azha	Sino-Tibetan	Eurasia	151	134	102	76.12
bilb1241	Bilibil	Austronesian	Papunesia	141	134	102	76.12
ping1243	Pingelapese	Austronesian	Papunesia	152	138	105	76.09
mono1270	Mono (Democratic Republic of Congo)	Atlantic-Congo	Africa	149	142	108	76.06
east2447	East Futuna	Austronesian	Papunesia	187	167	127	76.05
sela1259	Selaru	Austronesian	Papunesia	186	167	127	76.05
cent2058	Central Maewo	Austronesian	Papunesia	110	96	73	76.04
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	121	92	76.03
mayk1239	Maykulan	Pama-Nyungan	Australia	152	146	111	76.03
futu1245	Futuna-Aniwa	Austronesian	Papunesia	192	171	130	76.02
mang1405	Manggarai	Austronesian	Papunesia	168	150	114	76
chas1234	Chashan	Sino-Tibetan	Eurasia	169	154	117	75.97
dumb1241	Dumbea	Austronesian	Papunesia	173	154	117	75.97
moke1242	Moken	Austronesian	Eurasia	171	154	117	75.97
idun1242	Iduna	Austronesian	Papunesia	179	158	120	75.95
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	158	120	75.95
jahh1242	Jah Hut	Austroasiatic	Eurasia	146	133	101	75.94
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	133	101	75.94
bang1369	Bangru	Sino-Tibetan	Eurasia	151	137	104	75.91
urim1252	Urim	Nuclear Torricelli	Papunesia	185	166	126	75.9
bant1288	Bantoanon	Austronesian	Papunesia	124	112	85	75.89
bitt1240	Bit	Austroasiatic	Eurasia	153	141	107	75.89
tolo1255	Tolomako	Austronesian	Papunesia	120	112	85	75.89
jaru1254	Jaru	Pama-Nyungan	Australia	61	58	44	75.86
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	87	66	75.86
boly1239	Bolyu	Austroasiatic	Eurasia	166	149	113	75.84
mbaa1245	Mba	Atlantic-Congo	Africa	137	124	94	75.81
wira1265	Wirangu	Pama-Nyungan	Australia	66	62	47	75.81
mari1426	Sunwadia	Austronesian	Papunesia	167	161	122	75.78
yaka1277	Yakan	Austronesian	Papunesia	178	161	122	75.78
hani1248	Hani	Sino-Tibetan	Eurasia	186	165	125	75.76
lala1268	Lala	Austronesian	Papunesia	187	165	125	75.76
sauk1252	Ma Manda	Nuclear Trans New Guinea	Papunesia	181	165	125	75.76
toar1246	Toaripi	Eleman	Papunesia	186	165	125	75.76
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	169	128	75.74
buwa1243	Buwal	Afro-Asiatic	Africa	191	169	128	75.74
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	173	131	75.72
samb1311	Samba Daka	Atlantic-Congo	Africa	158	144	109	75.69
oldm1243	Old Malay	Austronesian	Papunesia	119	111	84	75.68
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	152	115	75.66
tiga1245	Tigak	Austronesian	Papunesia	171	156	118	75.64
mara1404	Maranao	Austronesian	Papunesia	128	119	90	75.63
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	160	121	75.62
irar1238	Irarutu	Austronesian	Papunesia	184	164	124	75.61
kwar1239	Kwara'ae	Austronesian	Papunesia	186	164	124	75.61
naue1237	Nauete	Austronesian	Papunesia	183	164	124	75.61
saba1263	Sabah Malay	Austronesian	Papunesia	182	168	127	75.6
matu1261	Matukar	Austronesian	Papunesia	194	172	130	75.58
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	86	65	75.58
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	90	68	75.56
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	90	68	75.56
waim1252	Waima'a	Austronesian	Papunesia	144	135	102	75.56
cani1243	Canichana		South America	50	49	37	75.51
east1236	Eastern Katu	Austroasiatic	Eurasia	106	98	74	75.51
keda1252	Kedang	Austronesian	Papunesia	162	147	111	75.51
ughe1237	Ughele	Austronesian	Papunesia	182	163	123	75.46
wage1238	Wageman		Australia	175	163	123	75.46
fonn1241	Fon	Atlantic-Congo	Africa	189	167	126	75.45
nort3047	North Giziga	Afro-Asiatic	Africa	176	167	126	75.45
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	171	129	75.44
enuu1235	Enu	Sino-Tibetan	Eurasia	193	171	129	75.44
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	171	129	75.44
cata1286	Catawba	Siouan	North America	125	118	89	75.42
keri1250	Kerinci	Austronesian	Papunesia	127	118	89	75.42
cori1240	Cori	Atlantic-Congo	Africa	139	126	95	75.4
jehh1245	Jeh	Austroasiatic	Eurasia	139	126	95	75.4
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	126	95	75.4
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	130	98	75.38
misi1243	Misima-Paneati	Austronesian	Papunesia	144	130	98	75.38
tali1259	Talise	Austronesian	Papunesia	142	134	101	75.37
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	146	110	75.34
maan1238	Ma'anyan	Austronesian	Papunesia	163	146	110	75.34
mamb1294	Mambai	Atlantic-Congo	Africa	168	158	119	75.32
mato1252	Mato	Austronesian	Papunesia	169	158	119	75.32
yale1246	Yale		Papunesia	173	158	119	75.32
lash1243	Lashi	Sino-Tibetan	Eurasia	188	166	125	75.3
achi1257	Acehnese	Austronesian	Papunesia	192	170	128	75.29
nese1235	Nese	Austronesian	Papunesia	191	170	128	75.29
vera1241	Vera'a	Austronesian	Papunesia	191	170	128	75.29
monz1249	Monzombo	Atlantic-Congo	Africa	119	113	85	75.22
ajas1235	Aja (South Sudan)	Kresh-Aja	Africa	130	117	88	75.21
gamb1251	Gambera	Worrorran	Australia	129	121	91	75.21
chuu1238	Chuukese	Austronesian	Papunesia	132	125	94	75.2
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	125	94	75.2
zulg1242	Zulgo-Gemzek	Afro-Asiatic	Africa	133	125	94	75.2
lusi1240	Lusi	Austronesian	Papunesia	144	137	103	75.18
arop1242	Arop-Sissano	Austronesian	Papunesia	164	149	112	75.17
aulu1238	Aulua	Austronesian	Papunesia	160	149	112	75.17
cent1989	Central Khmer	Austroasiatic	Eurasia	177	157	118	75.16
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	169	127	75.15
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	173	130	75.14
bata1289	Batak Toba	Austronesian	Papunesia	168	152	114	75
buta1242	Butam	Taulil-Butam	Papunesia	76	72	54	75
cent1992	Central Mnong	Austroasiatic	Eurasia	190	168	126	75
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	172	129	75
dhao1237	Dhao	Austronesian	Papunesia	189	168	126	75
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	144	108	75
logo1259	Logo	Central Sudanic	Africa	172	160	120	75
louu1245	Lou	Austronesian	Papunesia	176	156	117	75
mera1242	Meramera	Austronesian	Papunesia	54	52	39	75
monn1252	Mon	Austroasiatic	Eurasia	91	88	66	75
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	136	102	75
tain1254	Taino	Arawakan	North America	4	4	3	75
tern1247	Ternate	North Halmahera	Papunesia	190	168	126	75
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	124	93	75
wadj1254	Wadjiginy		Australia	141	132	99	75
bari1286	Bariai	Austronesian	Papunesia	176	163	122	74.85
leng1259	Lengo	Austronesian	Papunesia	172	163	122	74.85
litz1237	Naman	Austronesian	Papunesia	185	163	122	74.85
mbul1263	Mbula	Austronesian	Papunesia	183	163	122	74.85
yawu1244	Yawuru	Nyulnyulan	Australia	185	163	122	74.85
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	159	119	74.84
sana1297	San Andres Creole English	Indo-European	North America	168	151	113	74.83
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	143	107	74.83
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	127	95	74.8
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	123	92	74.8
tata1258	Tataltepec Chatino	Otomanguean	North America	126	123	92	74.8
thai1261	Thai	Tai-Kadai	Eurasia	101	95	71	74.74
nort2836	North Efate	Austronesian	Papunesia	93	91	68	74.73
miju1243	Kman	Sino-Tibetan	Eurasia	192	170	127	74.71
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	166	124	74.7
paco1243	Pacoh	Austroasiatic	Eurasia	188	166	124	74.7
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	83	62	74.7
band1344	Banda-Bambari	Atlantic-Congo	Africa	176	162	121	74.69
hone1235	Hõne	Atlantic-Congo	Africa	177	158	118	74.68
