Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
homa1239	Homa	Atlantic-Congo	Africa	14	12	12	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	113	103	91.15
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	44	39	88.64
asoa1238	Asoa	Central Sudanic	Africa	94	80	69	86.25
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	6	85.71
mara1399	Maragus	Austronesian	Papunesia	174	131	112	85.5
jiba1237	Jiba	Atlantic-Congo	Africa	120	102	87	85.29
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	99	84	84.85
kunz1244	Kunza		South America	72	59	50	84.75
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	72	61	84.72
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	104	88	84.62
iliu1237	Ili'uun	Austronesian	Papunesia	168	121	102	84.3
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	69	58	84.06
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	69	58	84.06
labu1248	Labu	Austronesian	Papunesia	154	122	102	83.61
mans1260	Mansim	Hatam-Mansim	Papunesia	71	66	55	83.33
nort3047	North Giziga	Afro-Asiatic	Africa	176	131	109	83.21
nubi1253	Nubi	Afro-Asiatic	Africa	168	119	99	83.19
sema1266	Semai	Austroasiatic	Eurasia	141	112	93	83.04
logo1259	Logo	Central Sudanic	Africa	172	134	111	82.84
akei1237	Akei	Austronesian	Papunesia	122	93	77	82.8
west2650	Western Cham	Austronesian	Eurasia	151	116	96	82.76
tuwu1238	Tuwuli	Atlantic-Congo	Africa	191	139	115	82.73
kweg1241	Kwegu	Surmic	Africa	162	121	100	82.64
mono1270	Mono (Democratic Republic of Congo)	Atlantic-Congo	Africa	149	115	95	82.61
tuml1238	Tumleo	Austronesian	Papunesia	103	86	71	82.56
sout2869	Southwest Tanna	Austronesian	Papunesia	166	120	99	82.5
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	142	117	82.39
nati1244	Nati	Austronesian	Papunesia	127	107	88	82.24
ibib1240	Ibibio	Atlantic-Congo	Africa	140	101	83	82.18
aree1239	Are	Austronesian	Papunesia	157	117	96	82.05
para1311	Paraguayan Guaraní	Tupian	South America	54	39	32	82.05
dege1246	Degema	Atlantic-Congo	Africa	189	139	114	82.01
gaaa1244	Ga	Atlantic-Congo	Africa	133	100	82	82
whit1269	Whitesands	Austronesian	Papunesia	167	122	100	81.97
nucl1417	Igbo	Atlantic-Congo	Africa	188	138	113	81.88
cani1243	Canichana		South America	50	44	36	81.82
gade1242	Gade	Atlantic-Congo	Africa	178	137	112	81.75
vunj1238	Vunjo	Atlantic-Congo	Africa	165	126	103	81.75
bubi1250	Bubi	Atlantic-Congo	Africa	144	115	94	81.74
uuuu1243	U	Austroasiatic	Eurasia	139	115	94	81.74
boru1252	Boruca	Chibchan	North America	117	93	76	81.72
kuna1268	Kunama		Africa	165	120	98	81.67
gebe1237	Gebe	Austronesian	Papunesia	129	103	84	81.55
kari1311	Karitiâna	Tupian	South America	160	119	97	81.51
oldm1242	Old Mon	Austroasiatic	Eurasia	171	124	101	81.45
tane1237	Tanema	Austronesian	Papunesia	154	113	92	81.42
tean1237	Teanu	Austronesian	Papunesia	147	113	92	81.42
hrus1242	Hruso		Eurasia	89	75	61	81.33
anuf1239	Anufo	Atlantic-Congo	Africa	162	123	100	81.3
lala1268	Lala	Austronesian	Papunesia	187	139	113	81.29
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	111	90	81.08
fonn1241	Fon	Atlantic-Congo	Africa	189	137	111	81.02
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	100	81	81
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	121	98	80.99
monn1252	Mon	Austroasiatic	Eurasia	91	63	51	80.95
ndom1245	Ndom	Kolopom	Papunesia	74	63	51	80.95
vinm1237	Neve'ei	Austronesian	Papunesia	143	105	85	80.95
mbaa1245	Mba	Atlantic-Congo	Africa	137	110	89	80.91
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	141	114	80.85
mund1326	Mündü	Atlantic-Congo	Africa	120	94	76	80.85
ndun1249	Ndunga	Atlantic-Congo	Africa	127	94	76	80.85
west2397	Western Bru	Austroasiatic	Eurasia	157	120	97	80.83
band1344	Banda-Bambari	Atlantic-Congo	Africa	176	130	105	80.77
dagb1246	Dagbani	Atlantic-Congo	Africa	177	130	105	80.77
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	104	84	80.77
kuyy1240	Kuy	Austroasiatic	Eurasia	174	130	105	80.77
mpur1239	Mpur		Papunesia	185	135	109	80.74
bang1369	Bangru	Sino-Tibetan	Eurasia	151	114	92	80.7
lese1243	Lese	Central Sudanic	Africa	150	114	92	80.7
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	88	71	80.68
humb1243	Humburi Senni Songhay	Songhay	Africa	167	119	96	80.67
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	119	96	80.67
belu1239	Belueli	Atlantic-Congo	Africa	73	62	50	80.65
mani1235	Sougb	East Bird's Head	Papunesia	122	93	75	80.65
saaa1241	Sa	Austronesian	Papunesia	162	124	100	80.65
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	77	62	80.52
iama1237	Iamalele	Austronesian	Papunesia	107	87	70	80.46
ache1245	Acheron	Narrow Talodi	Africa	120	92	74	80.43
vano1237	Lovono	Austronesian	Papunesia	146	107	86	80.37
aulu1238	Aulua	Austronesian	Papunesia	160	117	94	80.34
ling1265	Neverver	Austronesian	Papunesia	157	117	94	80.34
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	122	98	80.33
adon1237	Adonara	Austronesian	Papunesia	165	127	102	80.31
alor1247	Alorese	Austronesian	Papunesia	168	127	102	80.31
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	127	102	80.31
tega1236	Tegali	Rashad	Africa	82	66	53	80.3
bolg1251	Bolgo	Atlantic-Congo	Africa	78	71	57	80.28
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	81	65	80.25
lave1249	Brao	Austroasiatic	Eurasia	122	86	69	80.23
elip1238	Elip	Atlantic-Congo	Africa	111	96	77	80.21
labo1244	Ninde	Austronesian	Papunesia	122	101	81	80.2
huba1236	Huba	Afro-Asiatic	Africa	151	116	93	80.17
ngam1268	Ngambay	Central Sudanic	Africa	156	116	93	80.17
buga1247	Bugan	Austroasiatic	Eurasia	190	141	113	80.14
arib1241	Aribwatsa	Austronesian	Papunesia	121	100	80	80
buwa1243	Buwal	Afro-Asiatic	Africa	191	140	112	80
goro1270	Gorowa	Afro-Asiatic	Africa	13	10	8	80
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	125	100	80
nese1235	Nese	Austronesian	Papunesia	191	140	112	80
nkon1248	Nkonya	Atlantic-Congo	Africa	128	100	80	80
paam1238	Paama	Austronesian	Papunesia	117	90	72	80
shee1238	She	Hmong-Mien	Eurasia	162	120	96	80
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	139	111	79.86
mala1481	Manado Malay	Austronesian	Papunesia	178	134	107	79.85
lagw1237	Lagwan	Afro-Asiatic	Africa	164	124	99	79.84
sana1297	San Andres Creole English	Indo-European	North America	168	119	95	79.83
sapu1248	Sapuan	Austroasiatic	Eurasia	152	114	91	79.82
keoo1238	Kéo	Austronesian	Papunesia	187	138	110	79.71
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	138	110	79.71
tutu1241	Tutuba	Austronesian	Papunesia	184	138	110	79.71
kagu1239	Kagulu	Atlantic-Congo	Africa	186	133	106	79.7
avac1239	Avá-Canoeiro	Tupian	South America	153	123	98	79.67
chra1242	Chrau	Austroasiatic	Eurasia	166	123	98	79.67
kolu1245	Koluwawa	Austronesian	Papunesia	163	123	98	79.67
rade1240	Rade	Austronesian	Eurasia	167	123	98	79.67
nara1262	Nara		Africa	132	103	82	79.61
keri1250	Kerinci	Austronesian	Papunesia	127	93	74	79.57
mera1242	Meramera	Austronesian	Papunesia	54	44	35	79.55
ramo1244	Ramoaaina	Austronesian	Papunesia	52	44	35	79.55
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	88	70	79.55
kupa1239	Kupang Malay	Austronesian	Papunesia	168	127	101	79.53
temi1246	Temiar	Austroasiatic	Eurasia	167	127	101	79.53
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	122	97	79.51
ewee1241	Ewe	Atlantic-Congo	Africa	162	117	93	79.49
okoe1238	Oko-Eni-Osayen	Atlantic-Congo	Africa	102	78	62	79.49
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	117	93	79.49
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	107	85	79.44
mlab1235	Mlabri	Austroasiatic	Eurasia	182	136	108	79.41
chuw1238	Chuwabu	Atlantic-Congo	Africa	180	131	104	79.39
huuu1240	Hu	Austroasiatic	Eurasia	175	131	104	79.39
mada1285	Madak	Austronesian	Papunesia	176	131	104	79.39
sooo1254	Sô	Austroasiatic	Eurasia	176	131	104	79.39
sham1280	Shambala	Atlantic-Congo	Africa	118	92	73	79.35
weda1241	Wedau	Austronesian	Papunesia	115	92	73	79.35
kens1248	Kensiu	Austroasiatic	Eurasia	164	121	96	79.34
muso1238	Musom	Austronesian	Papunesia	150	121	96	79.34
osam1235	Osamayi	Atlantic-Congo	Africa	105	87	69	79.31
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	135	107	79.26
orok1266	Oroko	Atlantic-Congo	Africa	139	106	84	79.25
limo1249	Limonese Creole	Indo-European	North America	143	101	80	79.21
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	101	80	79.21
mato1252	Mato	Austronesian	Papunesia	169	125	99	79.2
urav1235	Ura (Vanuatu)	Austronesian	Papunesia	169	125	99	79.2
bagi1246	Bagirmi	Central Sudanic	Africa	167	120	95	79.17
lach1248	Lachi	Tai-Kadai	Eurasia	167	120	95	79.17
tibe1274	Tibea	Atlantic-Congo	Africa	95	72	57	79.17
buga1250	Bugawac	Austronesian	Papunesia	191	139	110	79.14
iban1264	Iban	Austronesian	Papunesia	188	139	110	79.14
unua1237	Unua	Austronesian	Papunesia	192	139	110	79.14
tswa1253	Tswana	Atlantic-Congo	Africa	178	129	102	79.07
mang1404	Mangga Buang	Austronesian	Papunesia	125	105	83	79.05
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	124	98	79.03
sout2994	Southern Nambikuára	Nambiquaran	South America	186	138	109	78.99
lumb1249	Lumbu	Atlantic-Congo	Africa	146	114	90	78.95
ngas1240	Ngas	Afro-Asiatic	Africa	176	133	105	78.95
luya1241	Luyi	Atlantic-Congo	Africa	172	128	101	78.91
samb1311	Samba Daka	Atlantic-Congo	Africa	158	128	101	78.91
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	90	71	78.89
baba1267	Baba Malay	Austronesian	Eurasia	191	142	112	78.87
kaya1315	Kayan Lahwi	Sino-Tibetan	Eurasia	194	142	112	78.87
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	142	112	78.87
furu1242	Furu	Central Sudanic	Africa	127	104	82	78.85
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	164	113	89	78.76
bata1285	Batanga	Atlantic-Congo	Africa	113	80	63	78.75
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	80	63	78.75
phai1238	Prai	Austroasiatic	Eurasia	186	141	111	78.72
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	136	107	78.68
maee1241	Tirax	Austronesian	Papunesia	188	136	107	78.68
naue1237	Nauete	Austronesian	Papunesia	183	136	107	78.68
gwen1239	Gweno	Atlantic-Congo	Africa	135	103	81	78.64
hone1235	Hõne	Atlantic-Congo	Africa	177	131	103	78.63
kwom1262	Kwoma	Sepik	Papunesia	174	131	103	78.63
term1237	Termanu	Austronesian	Papunesia	172	131	103	78.63
kimm1246	Kim	Atlantic-Congo	Africa	129	98	77	78.57
lafo1243	Lafofa		Africa	68	56	44	78.57
tugu1245	Tugun	Austronesian	Papunesia	168	126	99	78.57
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	112	88	78.57
irar1238	Irarutu	Austronesian	Papunesia	184	135	106	78.52
blan1242	Blang	Austroasiatic	Eurasia	159	121	95	78.51
boly1239	Bolyu	Austroasiatic	Eurasia	166	121	95	78.51
waim1252	Waima'a	Austronesian	Papunesia	144	107	84	78.5
bign1238	Big Nambas	Austronesian	Papunesia	181	130	102	78.46
lotu1250	Lotud	Austronesian	Papunesia	132	102	80	78.43
midd1327	Middle Watut	Austronesian	Papunesia	140	102	80	78.43
saka1289	Wanohe	Austronesian	Papunesia	187	139	109	78.42
budz1238	Budza	Atlantic-Congo	Africa	166	125	98	78.4
ware1253	Warembori	Austronesian	Papunesia	170	125	98	78.4
nort2994	Northern Roglai	Austronesian	Eurasia	90	74	58	78.38
tief1242	Tiefo-Daramandugu	Atlantic-Congo	Africa	177	134	105	78.36
wage1238	Wageman		Australia	175	134	105	78.36
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	134	105	78.36
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	60	47	78.33
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	69	54	78.26
birr1240	Birri	Central Sudanic	Africa	120	92	72	78.26
jama1262	Jamaican Creole English	Indo-European	North America	157	115	90	78.26
jjuu1238	Jju	Atlantic-Congo	Africa	85	69	54	78.26
yong1270	Narua	Sino-Tibetan	Eurasia	160	115	90	78.26
pura1257	Purari		Papunesia	158	124	97	78.23
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	110	86	78.18
aheu1239	Thavung	Austroasiatic	Eurasia	192	142	111	78.17
piji1239	Pijin	Indo-European	Papunesia	154	119	93	78.15
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	119	93	78.15
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	96	75	78.12
naro1251	Narom	Austronesian	Papunesia	132	105	82	78.1
paas1238	Paasaal	Atlantic-Congo	Africa	186	137	107	78.1
dyul1238	Dyula	Mande	Africa	157	114	89	78.07
karn1252	Karnai	Austronesian	Papunesia	142	114	89	78.07
yako1252	Yakoma	Atlantic-Congo	Africa	143	114	89	78.07
tond1249	Tondi Songway Kiini	Songhay	Africa	172	123	96	78.05
mayo1261	Mayogo	Atlantic-Congo	Africa	168	132	103	78.03
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	141	110	78.01
wuch1236	Wu Chinese	Sino-Tibetan	Eurasia	192	141	110	78.01
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	118	92	77.97
hote1245	Hote	Austronesian	Papunesia	162	118	92	77.97
taus1253	Taushiro		South America	150	118	92	77.97
mapo1242	Mapos Buang	Austronesian	Papunesia	173	127	99	77.95
pagi1243	Pagibete	Atlantic-Congo	Africa	170	127	99	77.95
haru1245	Haruai	Piawi	Papunesia	178	136	106	77.94
litz1237	Naman	Austronesian	Papunesia	185	136	106	77.94
tepe1278	Tepecano	Uto-Aztecan	North America	121	95	74	77.89
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	104	81	77.88
lend1245	Lendu	Central Sudanic	Africa	159	122	95	77.87
aoua1234	A'ou	Tai-Kadai	Eurasia	187	140	109	77.86
saba1268	Sabanê	Nambiquaran	South America	169	131	102	77.86
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	126	98	77.78
gang1266	Gangte	Sino-Tibetan	Eurasia	184	135	105	77.78
keng1240	Kenga	Central Sudanic	Africa	124	90	70	77.78
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	126	98	77.78
suku1259	Suku	Atlantic-Congo	Africa	134	108	84	77.78
zapa1253	Záparo	Zaparoan	South America	144	108	84	77.78
nort2684	Northern Khmer	Austroasiatic	Eurasia	191	139	108	77.7
berb1259	Berbice Creole Dutch	Indo-European	South America	170	121	94	77.69
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	130	101	77.69
lozi1239	Lozi	Atlantic-Congo	Africa	137	112	87	77.68
buhu1237	Buhutu	Austronesian	Papunesia	134	103	80	77.67
atii1237	Ati	Austronesian	Papunesia	115	94	73	77.66
lonw1238	Lonwolwol	Austronesian	Papunesia	126	94	73	77.66
toor1238	Tooro	Atlantic-Congo	Africa	184	134	104	77.61
akun1241	Akuntsu	Tupian	South America	174	125	97	77.6
bafi1243	Bafia	Atlantic-Congo	Africa	173	125	97	77.6
lara1260	Larantuka Malay	Austronesian	Papunesia	169	125	97	77.6
nucl1240	Mumuye	Atlantic-Congo	Africa	170	125	97	77.6
west2548	West Damar	Austronesian	Papunesia	163	125	97	77.6
emae1237	Emae	Austronesian	Papunesia	156	116	90	77.59
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	116	90	77.59
ubir1237	Ubir	Austronesian	Papunesia	149	116	90	77.59
avok1242	Avokaya	Central Sudanic	Africa	122	107	83	77.57
vwan1235	Vwanji	Atlantic-Congo	Africa	129	107	83	77.57
cata1286	Catawba	Siouan	North America	125	98	76	77.55
nort2847	North Tanna	Austronesian	Papunesia	128	98	76	77.55
basa1287	Basay	Austronesian	Papunesia	106	89	69	77.53
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	129	100	77.52
port1285	Port Sandwich	Austronesian	Papunesia	174	129	100	77.52
leme1238	Lemerig	Austronesian	Papunesia	164	120	93	77.5
elem1253	Eleme	Atlantic-Congo	Africa	140	111	86	77.48
matu1261	Matukar	Austronesian	Papunesia	194	142	110	77.46
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	142	110	77.46
papu1250	Papuan Malay	Austronesian	Papunesia	191	142	110	77.46
vure1239	Vurës	Austronesian	Papunesia	194	142	110	77.46
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	102	79	77.45
hait1244	Haitian	Indo-European	North America	180	133	103	77.44
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	93	72	77.42
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	124	96	77.42
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	124	96	77.42
adze1240	Adzera	Austronesian	Papunesia	158	115	89	77.39
jurm1239	Jur Modo	Central Sudanic	Africa	159	115	89	77.39
mokl1243	Moklen	Austronesian	Eurasia	181	137	106	77.37
culi1244	Culina	Arawan	South America	179	128	99	77.34
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	119	92	77.31
apma1240	Apma	Austronesian	Papunesia	194	141	109	77.3
paco1243	Pacoh	Austroasiatic	Eurasia	188	141	109	77.3
baga1272	Baga Sitemu	Atlantic-Congo	Africa	140	110	85	77.27
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	132	102	77.27
malg1251	Malgwa	Afro-Asiatic	Africa	171	132	102	77.27
saba1263	Sabah Malay	Austronesian	Papunesia	182	132	102	77.27
saya1246	Saya	Afro-Asiatic	Africa	121	88	68	77.27
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	110	85	77.27
melo1242	Melo	Ta-Ne-Omotic	Africa	163	123	95	77.24
idun1242	Iduna	Austronesian	Papunesia	179	136	105	77.21
nyan1307	Nyankole	Atlantic-Congo	Africa	185	136	105	77.21
cori1240	Cori	Atlantic-Congo	Africa	139	114	88	77.19
reng1252	Rengao	Austroasiatic	Eurasia	172	127	98	77.17
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	140	108	77.14
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	140	108	77.14
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	118	91	77.12
soli1239	Soli	Atlantic-Congo	Africa	101	83	64	77.11
lote1237	Lote	Austronesian	Papunesia	178	131	101	77.1
awab1243	Awabakal	Pama-Nyungan	Australia	67	48	37	77.08
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	96	74	77.08
esim1238	Esimbi	Atlantic-Congo	Africa	154	122	94	77.05
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	122	94	77.05
taba1263	Tabaru	North Halmahera	Papunesia	176	135	104	77.04
east2332	Eastern Bru	Austroasiatic	Eurasia	134	100	77	77
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	100	77	77
lamo1244	Lamogai	Austronesian	Papunesia	135	100	77	77
loka1252	Lokaa	Atlantic-Congo	Africa	162	126	97	76.98
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	126	97	76.98
bong1285	Bongo	Central Sudanic	Africa	146	104	80	76.92
gaaa1245	Gaa	Atlantic-Congo	Africa	79	65	50	76.92
kaur1267	Kaurna	Pama-Nyungan	Australia	48	39	30	76.92
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	52	40	76.92
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	130	100	76.92
shas1239	Shasta	Shastan	North America	144	104	80	76.92
sout2859	Southeast Ambrym	Austronesian	Papunesia	124	91	70	76.92
yawa1261	Yawalapití	Arawakan	South America	58	52	40	76.92
soga1242	Soga	Atlantic-Congo	Africa	181	134	103	76.87
chib1270	Chibcha	Chibchan	South America	148	108	83	76.85
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	138	106	76.81
tetu1245	Tetum	Austronesian	Papunesia	87	69	53	76.81
tumu1242	Tumulung Sisaala	Atlantic-Congo	Africa	95	69	53	76.81
awar1249	Awar	Lower Sepik-Ramu	Papunesia	165	125	96	76.8
chit1248	Chitimacha		North America	167	125	96	76.8
tong1308	Maniq	Austroasiatic	Eurasia	163	125	96	76.8
atak1252	Atakapa		North America	149	112	86	76.79
jehh1245	Jeh	Austroasiatic	Eurasia	139	112	86	76.79
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	112	86	76.79
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	112	86	76.79
bini1246	Bini	Atlantic-Congo	Africa	177	129	99	76.74
maan1238	Ma'anyan	Austronesian	Papunesia	163	129	99	76.74
molo1266	Moloko	Afro-Asiatic	Africa	109	86	66	76.74
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	43	33	76.74
bong1289	Bonggi	Austronesian	Papunesia	150	116	89	76.72
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	116	89	76.72
nica1252	Nicaragua Creole English	Indo-European	North America	157	116	89	76.72
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	103	79	76.7
dana1252	Danau	Austroasiatic	Eurasia	179	133	102	76.69
biwa1243	Biwat	Yuat	Papunesia	153	120	92	76.67
jeha1242	Jehai	Austroasiatic	Eurasia	162	120	92	76.67
mang1394	Mangbetu	Central Sudanic	Africa	154	120	92	76.67
sanb1242	San Blas Kuna	Chibchan	South America	165	120	92	76.67
xink1235	Xinka-Jumaytepeque	Xincan	North America	150	107	82	76.64
mbay1241	Mbay	Central Sudanic	Africa	173	124	95	76.61
akab1249	Akabea	Great Andamanese	Eurasia	192	141	108	76.6
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	141	108	76.6
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	94	72	76.6
woii1237	Woi	Austronesian	Papunesia	191	141	108	76.6
mask1242	Maskelynes	Austronesian	Papunesia	157	111	85	76.58
ines1240	Ineseño	Chumashan	North America	173	128	98	76.56
kwam1252	Kwamera	Austronesian	Papunesia	176	128	98	76.56
malu1245	Malua Bay	Austronesian	Papunesia	173	128	98	76.56
mban1263	Mbandja	Atlantic-Congo	Africa	162	128	98	76.56
ngba1285	Ngbaka Minagende	Atlantic-Congo	Africa	168	128	98	76.56
beng1282	Benga	Atlantic-Congo	Africa	132	98	75	76.53
manm1238	Man Met	Austroasiatic	Eurasia	150	115	88	76.52
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	132	101	76.52
rama1270	Rama	Chibchan	North America	145	115	88	76.52
matb1237	Matbat	Austronesian	Papunesia	154	119	91	76.47
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	34	26	76.47
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	140	107	76.43
gyel1242	Gyele	Atlantic-Congo	Africa	190	140	107	76.43
khan1278	Khana	Atlantic-Congo	Africa	187	140	107	76.43
arop1243	Arop-Lokep	Austronesian	Papunesia	161	123	94	76.42
konz1239	Konzo	Atlantic-Congo	Africa	133	106	81	76.42
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	123	94	76.42
moni1237	Mangue	Otomanguean	North America	84	72	55	76.39
sout2782	South Fali	Atlantic-Congo	Africa	177	127	97	76.38
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	110	84	76.36
lame1260	Lamenu	Austronesian	Papunesia	126	93	71	76.34
east2485	Eastern Penan	Austronesian	Papunesia	147	114	87	76.32
west2600	West Makian	North Halmahera	Papunesia	151	114	87	76.32
nawu1242	Nawuri	Atlantic-Congo	Africa	182	135	103	76.3
bond1247	Bondei	Atlantic-Congo	Africa	151	118	90	76.27
hehe1240	Hehe	Atlantic-Congo	Africa	144	118	90	76.27
idum1241	Idu	Sino-Tibetan	Eurasia	151	118	90	76.27
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	139	106	76.26
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	122	93	76.23
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	122	93	76.23
zamb1245	Zamba	Atlantic-Congo	Africa	152	122	93	76.23
east1236	Eastern Katu	Austroasiatic	Eurasia	106	84	64	76.19
isna1241	Isnag	Austronesian	Papunesia	163	126	96	76.19
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	126	96	76.19
kara1482	Kara (Central African Republic)	Central Sudanic	Africa	149	105	80	76.19
tama1331	Tama (Chad)	Tamaic	Africa	139	105	80	76.19
west2441	Western Arrarnta	Pama-Nyungan	Australia	159	126	96	76.19
biha1246	Bih	Austronesian	Eurasia	182	134	102	76.12
koti1238	Koti	Atlantic-Congo	Africa	182	134	102	76.12
kove1237	Kove	Austronesian	Papunesia	180	134	102	76.12
yaoo1241	Yao	Atlantic-Congo	Africa	137	113	86	76.11
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	138	105	76.09
monz1249	Monzombo	Atlantic-Congo	Africa	119	92	70	76.09
jara1266	Jarai	Austronesian	Eurasia	156	117	89	76.07
obok1239	Obokuitai	Lakes Plain	Papunesia	157	117	89	76.07
abun1252	Abun		Papunesia	195	142	108	76.06
etru1241	Etruscan		Eurasia	130	104	79	75.96
bebe1248	Bebele	Atlantic-Congo	Africa	184	133	101	75.94
nyor1246	Nyoro	Atlantic-Congo	Africa	180	133	101	75.94
waig1244	Waigeo	Austronesian	Papunesia	176	133	101	75.94
lamb1272	Lambya	Atlantic-Congo	Africa	132	108	82	75.93
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	141	107	75.89
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	141	107	75.89
tern1247	Ternate	North Halmahera	Papunesia	190	141	107	75.89
bitt1240	Bit	Austroasiatic	Eurasia	153	116	88	75.86
kana1286	Kanakanavu	Austronesian	Papunesia	147	116	88	75.86
yinc1238	Yinchia	Austroasiatic	Eurasia	65	58	44	75.86
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	120	91	75.83
lule1238	Lule		South America	146	120	91	75.83
nsen1242	Nsenga	Atlantic-Congo	Africa	160	120	91	75.83
beli1260	Belize Kriol English	Indo-European	North America	130	91	69	75.82
