Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	3	3	100
umbu1235	Umbugarla		Australia	126	110	89	80.91
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	60	48	80
urni1239	Urningangg	Giimbiyu	Australia	157	134	107	79.85
nhan1238	Nhanda	Pama-Nyungan	Australia	163	143	114	79.72
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	82	65	79.27
waru1265	Warumungu	Pama-Nyungan	Australia	173	149	118	79.19
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	38	30	78.95
wage1238	Wageman		Australia	175	155	122	78.71
muru1266	Muruwari	Pama-Nyungan	Australia	157	134	105	78.36
wamb1258	Wambayan	Mirndi	Australia	103	86	67	77.91
walm1241	Walmajarri	Pama-Nyungan	Australia	57	49	38	77.55
nezp1238	Nez Perce	Sahaptian	North America	176	151	117	77.48
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	137	106	77.37
miri1266	Miriwung	Jarrakan	Australia	142	122	94	77.05
gamb1251	Gambera	Worrorran	Australia	129	108	83	76.85
miwa1242	Miwa	Worrorran	Australia	130	108	83	76.85
yawu1244	Yawuru	Nyulnyulan	Australia	185	162	124	76.54
omii1238	Omi	Central Sudanic	Africa	18	17	13	76.47
djam1255	Jaminjung-Ngaliwurru	Mirndi	Australia	184	157	120	76.43
warr1255	Warrgamay	Pama-Nyungan	Australia	80	72	55	76.39
cani1243	Canichana		South America	50	42	32	76.19
umii1235	Umiida-Unggarangu	Worrorran	Australia	88	75	57	76
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	75	57	76
wuna1249	Wunambal	Worrorran	Australia	127	104	79	75.96
biri1256	Biri	Pama-Nyungan	Australia	146	124	94	75.81
wila1240	Wilawila	Worrorran	Australia	127	107	81	75.7
guny1241	Gunya	Pama-Nyungan	Australia	177	152	115	75.66
wadj1254	Wadjiginy		Australia	141	119	90	75.63
yaki1237	Northwest Sahaptin	Sahaptian	North America	187	160	121	75.62
marg1253	Margany	Pama-Nyungan	Australia	144	127	96	75.59
kalk1246	Kalkutung	Pama-Nyungan	Australia	158	135	102	75.56
yayg1236	Yaygir	Pama-Nyungan	Australia	154	134	101	75.37
winj1235	Winjarumi	Worrorran	Australia	126	105	79	75.24
nyig1240	Nyigina	Nyulnyulan	Australia	128	109	82	75.23
waga1260	Wagaya	Pama-Nyungan	Australia	134	121	91	75.21
kaya1319	Kayardild	Tangkic	Australia	96	80	60	75
mayk1239	Maykulan	Pama-Nyungan	Australia	152	132	99	75
ward1246	Wardaman	Yangmanic	Australia	164	140	105	75
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	12	9	75
kwin1241	Kwini	Worrorran	Australia	160	135	101	74.81
yoku1256	Northern Yokuts	Yokutsan	North America	173	146	109	74.66
weri1253	Weri	Goilalan	Papunesia	165	142	106	74.65
kuku1273	Kuku-Yalanji	Pama-Nyungan	Australia	184	160	119	74.38
gang1267	Ganggalida	Tangkic	Australia	94	78	58	74.36
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	128	95	74.22
tule1245	Tule-Kaweah Yokuts	Yokutsan	North America	172	150	111	74
orok1266	Oroko	Atlantic-Congo	Africa	139	115	85	73.91
waru1264	Warrongo	Pama-Nyungan	Australia	72	61	45	73.77
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	110	81	73.64
djin1253	Djinang	Pama-Nyungan	Australia	59	53	39	73.58
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	143	105	73.43
bula1255	Bularnu	Pama-Nyungan	Australia	114	109	80	73.39
pich1237	Pichis Ashéninka	Arawakan	South America	148	124	91	73.39
kaur1267	Kaurna	Pama-Nyungan	Australia	48	45	33	73.33
kung1259	Kungarakany		Australia	82	75	55	73.33
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	116	85	73.28
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	26	19	73.08
mbaa1245	Mba	Atlantic-Congo	Africa	137	115	84	73.04
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	100	73	73
tong1329	Tongva	Uto-Aztecan	North America	162	137	100	72.99
ngal1292	Ngalkbun	Gunwinyguan	Australia	188	159	116	72.96
idun1242	Iduna	Austronesian	Papunesia	179	155	113	72.9
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	114	83	72.81
wanm1242	Wanman	Pama-Nyungan	Australia	132	114	83	72.81
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	117	85	72.65
jita1239	Jita	Atlantic-Congo	Africa	75	69	50	72.46
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	127	92	72.44
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	116	84	72.41
gunw1252	Bininj Kun-Wok	Gunwinyguan	Australia	191	163	118	72.39
mang1381	Mangarrayi	Mangarrayi-Maran	Australia	192	163	118	72.39
seve1240	Severn Ojibwa	Algic	North America	176	152	110	72.37
bara1370	Baram Kayan	Austronesian	Papunesia	143	123	89	72.36
jaru1254	Jaru	Pama-Nyungan	Australia	61	47	34	72.34
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	94	68	72.34
haaa1252	Ha	Atlantic-Congo	Africa	187	159	115	72.33
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	130	94	72.31
saga1262	Sagalla	Atlantic-Congo	Africa	152	130	94	72.31
tami1290	Tami	Austronesian	Papunesia	120	101	73	72.28
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	101	73	72.28
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	97	70	72.16
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	140	101	72.14
asur1254	Asuri	Austroasiatic	Eurasia	149	129	93	72.09
dhar1247	Dhargari	Pama-Nyungan	Australia	77	68	49	72.06
akun1241	Akuntsu	Tupian	South America	174	146	105	71.92
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	64	46	71.88
ngar1283	Ngarnka	Mirndi	Australia	162	142	102	71.83
nucl1327	Limilngan	Limilngan-Wulna	Australia	167	142	102	71.83
lang1320	Langi	Atlantic-Congo	Africa	174	149	107	71.81
thur1254	Thurawal	Pama-Nyungan	Australia	86	78	56	71.79
bian1252	Biangai	Goilalan	Papunesia	155	131	94	71.76
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	85	61	71.76
yulp1239	Yulparija	Pama-Nyungan	Australia	156	131	94	71.76
pura1257	Purari		Papunesia	158	138	99	71.74
mati1250	Matigsalug Manobo	Austronesian	Papunesia	177	152	109	71.71
boto1242	Botolan Sambal	Austronesian	Papunesia	175	148	106	71.62
sene1264	Seneca	Iroquoian	North America	174	148	106	71.62
colu1241	Columbia-Wenatchi	Salishan	North America	178	155	111	71.61
iqui1243	Iquito	Zaparoan	South America	116	95	68	71.58
osam1235	Osamayi	Atlantic-Congo	Africa	105	95	68	71.58
nila1242	Nilamba	Atlantic-Congo	Africa	162	137	98	71.53
nyul1247	Nyulnyul	Nyulnyulan	Australia	159	137	98	71.53
maun1240	Mawng	Iwaidjan Proper	Australia	194	165	118	71.52
toor1238	Tooro	Atlantic-Congo	Africa	184	158	113	71.52
yind1247	Yindjibarndi	Pama-Nyungan	Australia	174	151	108	71.52
cent1972	Central Kurdish	Indo-European	Eurasia	15	14	10	71.43
coca1259	Cocama-Cocamilla	Tupian	South America	188	161	115	71.43
thar1283	Tharaka	Atlantic-Congo	Africa	101	91	65	71.43
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	136	97	71.32
wikm1247	Wik-Mungkan	Pama-Nyungan	Australia	134	115	82	71.3
ngar1284	Ngarinyin	Worrorran	Australia	181	153	109	71.24
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	111	79	71.17
thay1249	Thayore	Pama-Nyungan	Australia	99	83	59	71.08
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	145	103	71.03
agut1237	Agutaynen	Austronesian	Papunesia	161	138	98	71.01
baha1259	Baharna Arabic	Afro-Asiatic	Eurasia	147	124	88	70.97
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	148	105	70.95
budz1238	Budza	Atlantic-Congo	Africa	166	141	100	70.92
haro1237	Haroi	Austronesian	Eurasia	95	79	56	70.89
lese1243	Lese	Central Sudanic	Africa	150	127	90	70.87
sham1280	Shambala	Atlantic-Congo	Africa	118	103	73	70.87
keap1239	Keapara	Austronesian	Papunesia	174	151	107	70.86
nort2961	Northwestern Ojibwa	Algic	North America	189	161	114	70.81
ilaa1246	Ila	Atlantic-Congo	Africa	124	113	80	70.8
nyor1246	Nyoro	Atlantic-Congo	Africa	180	154	109	70.78
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	147	104	70.75
luya1241	Luyi	Atlantic-Congo	Africa	172	147	104	70.75
kumb1268	Kumbainggar	Pama-Nyungan	Australia	192	164	116	70.73
lumb1249	Lumbu	Atlantic-Congo	Africa	146	123	87	70.73
awet1244	Awetí	Tupian	South America	161	140	99	70.71
kala1384	Kalanga	Atlantic-Congo	Africa	164	140	99	70.71
awab1243	Awabakal	Pama-Nyungan	Australia	67	58	41	70.69
murl1244	Murle	Surmic	Africa	175	150	106	70.67
swah1253	Swahili	Atlantic-Congo	Africa	178	150	106	70.67
akoo1248	Akoose	Atlantic-Congo	Africa	185	160	113	70.62
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	160	113	70.62
anin1240	Anindilyakwa	Gunwinyguan	Australia	102	85	60	70.59
atam1240	Ata Manobo	Austronesian	Papunesia	160	136	96	70.59
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	85	60	70.59
ngaa1240	Ngaanyatjarra	Pama-Nyungan	Australia	154	136	96	70.59
tiwi1244	Tiwi		Australia	102	85	60	70.59
kunj1245	Kunjen	Pama-Nyungan	Australia	163	146	103	70.55
mats1244	Matsés	Pano-Tacanan	South America	174	146	103	70.55
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	146	103	70.55
lotu1250	Lotud	Austronesian	Papunesia	132	112	79	70.54
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	156	110	70.51
mono1275	Mono (USA)	Uto-Aztecan	North America	161	139	98	70.5
vunj1238	Vunjo	Atlantic-Congo	Africa	165	139	98	70.5
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	105	74	70.48
yagu1244	Yagua	Peba-Yagua	South America	170	149	105	70.47
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	159	112	70.44
limb1266	Limbu	Sino-Tibetan	Eurasia	140	115	81	70.43
loup1243	Loup A	Algic	North America	132	115	81	70.43
sius1254	Siuslaw		North America	165	142	100	70.42
araw1273	Araweté	Tupian	South America	148	125	88	70.4
yawa1260	Yawanawa	Pano-Tacanan	South America	148	125	88	70.4
arab1267	Arabana	Pama-Nyungan	Australia	62	54	38	70.37
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	162	114	70.37
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	135	95	70.37
ngur1261	Wilson River (Grey Range)	Pama-Nyungan	Australia	29	27	19	70.37
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	27	19	70.37
shan1283	Shanenawa	Pano-Tacanan	South America	171	145	102	70.34
soli1239	Soli	Atlantic-Congo	Africa	101	91	64	70.33
achu1248	Achuar-Shiwiar	Chicham	South America	183	155	109	70.32
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	155	109	70.32
yand1253	Yandruwandha	Pama-Nyungan	Australia	72	64	45	70.31
thao1240	Thao	Austronesian	Papunesia	170	148	104	70.27
holo1240	Holoholo	Atlantic-Congo	Africa	144	121	85	70.25
nyan1307	Nyankole	Atlantic-Congo	Africa	185	158	111	70.25
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	144	101	70.14
skol1241	Skolt Saami	Uralic	Eurasia	192	164	115	70.12
iran1262	Iranun	Austronesian	Papunesia	138	117	82	70.09
tusc1257	Tuscarora	Iroquoian	North America	158	137	96	70.07
sauk1252	Ma Manda	Nuclear Trans New Guinea	Papunesia	181	157	110	70.06
wayu1241	Wayu	Sino-Tibetan	Eurasia	183	157	110	70.06
kaon1241	Kaonde	Atlantic-Congo	Africa	120	100	70	70
kili1267	Kilivila	Austronesian	Papunesia	187	160	112	70
motu1246	Motu	Austronesian	Papunesia	160	140	98	70
ndun1249	Ndunga	Atlantic-Congo	Africa	127	110	77	70
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	110	77	70
waja1257	Wajarri	Pama-Nyungan	Australia	65	60	42	70
gaga1251	Gaagudju		Australia	169	143	100	69.93
moco1246	Mocoví	Guaicuruan	South America	169	143	100	69.93
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	153	107	69.93
waya1269	Wayana	Cariban	South America	178	153	107	69.93
mont1268	Montagnais	Algic	North America	134	113	79	69.91
bora1263	Bora	Boran	South America	173	146	102	69.86
ndob1238	Ndobo	Atlantic-Congo	Africa	85	73	51	69.86
pano1255	Panobo	Pano-Tacanan	South America	163	136	95	69.85
beem1239	Beembe	Atlantic-Congo	Africa	144	126	88	69.84
lund1266	Lunda	Atlantic-Congo	Africa	150	126	88	69.84
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	126	88	69.84
gwen1239	Gweno	Atlantic-Congo	Africa	135	116	81	69.83
uruu1244	Uru	Uru-Chipaya	South America	170	149	104	69.8
yura1255	Yuracaré		South America	177	149	104	69.8
high1243	Highland Totonac	Totonacan	North America	120	96	67	69.79
klam1254	Klamath-Modoc		North America	164	139	97	69.78
kweg1241	Kwegu	Surmic	Africa	162	139	97	69.78
amar1274	Amarakaeri	Harakmbut	South America	154	129	90	69.77
plai1258	Plains Cree	Algic	North America	174	152	106	69.74
siks1238	Siksika	Algic	North America	162	142	99	69.72
tswa1253	Tswana	Atlantic-Congo	Africa	178	155	108	69.68
lowl1260	Lowland Oaxaca Chontal	Tequistlatecan	North America	173	145	101	69.66
pany1241	Panytyima	Pama-Nyungan	Australia	171	145	101	69.66
lala1268	Lala	Austronesian	Papunesia	187	158	110	69.62
warl1256	Warluwara	Pama-Nyungan	Australia	95	79	55	69.62
nort2980	North Junín Quechua	Quechuan	South America	175	148	103	69.59
sanm1289	San Martín Quechua	Quechuan	South America	171	148	103	69.59
ashe1272	Ashéninka Perené	Arawakan	South America	193	164	114	69.51
sina1266	Sinaugoro	Austronesian	Papunesia	192	164	114	69.51
tote1238	Totela	Atlantic-Congo	Africa	161	141	98	69.5
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	59	41	69.49
cypr1248	Cypriot Arabic	Afro-Asiatic	Eurasia	142	118	82	69.49
karn1252	Karnai	Austronesian	Papunesia	142	118	82	69.49
moch1259	Mochica		South America	139	118	82	69.49
sela1260	Selayar	Austronesian	Papunesia	135	118	82	69.49
naru1238	Narungga	Pama-Nyungan	Australia	106	95	66	69.47
pana1307	Panará	Nuclear-Macro-Je	South America	156	131	91	69.47
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	121	84	69.42
ines1240	Ineseño	Chumashan	North America	173	147	102	69.39
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	49	34	69.39
iban1264	Iban	Austronesian	Papunesia	188	160	111	69.38
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	124	86	69.35
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	137	95	69.34
isco1239	Isconahua	Pano-Tacanan	South America	192	163	113	69.33
mich1245	Michoacán Nahuatl	Uto-Aztecan	North America	177	150	104	69.33
sira1267	Sirayaic	Austronesian	Papunesia	177	150	104	69.33
konz1239	Konzo	Atlantic-Congo	Africa	133	114	79	69.3
warr1258	Warrwa	Nyulnyulan	Australia	137	114	79	69.3
madn1237	Madngele	Eastern Daly	Australia	152	127	88	69.29
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	127	88	69.29
tuki1240	Tuki	Atlantic-Congo	Africa	160	140	97	69.29
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	156	108	69.23
esse1238	Esselen		North America	110	91	63	69.23
suku1261	Sukuma	Atlantic-Congo	Africa	128	104	72	69.23
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	65	45	69.23
yind1248	Yindjilandji	Pama-Nyungan	Australia	75	65	45	69.23
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	146	101	69.18
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	120	83	69.17
dobu1241	Dobu	Austronesian	Papunesia	174	149	103	69.13
mako1251	Makonde	Atlantic-Congo	Africa	164	136	94	69.12
alba1269	Inland-Buhi-Daraga Bikol	Austronesian	Papunesia	128	110	76	69.09
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	126	87	69.05
nhen1239	Nhengatu	Tupian	South America	181	155	107	69.03
tehu1242	Tehuelche	Chonan	South America	182	155	107	69.03
umes1235	Ume Saami	Uralic	Eurasia	183	155	107	69.03
qawa1238	Qawasqar	Kawesqar	South America	164	142	98	69.01
west2548	West Damar	Austronesian	Papunesia	163	142	98	69.01
luok1236	Luo (Kenya and Tanzania)	Nilotic	Africa	185	158	109	68.99
wash1253	Washo		North America	152	129	89	68.99
awtu1239	Awtuw	Sepik	Papunesia	138	116	80	68.97
kupa1239	Kupang Malay	Austronesian	Papunesia	168	145	100	68.97
reye1240	Reyesano	Pano-Tacanan	South America	139	116	80	68.97
caml1239	Camling	Sino-Tibetan	Eurasia	170	148	102	68.92
mapo1242	Mapos Buang	Austronesian	Papunesia	173	148	102	68.92
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	74	51	68.92
east2332	Eastern Bru	Austroasiatic	Eurasia	134	119	82	68.91
mera1242	Meramera	Austronesian	Papunesia	54	45	31	68.89
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	151	104	68.87
sema1266	Semai	Austroasiatic	Eurasia	141	122	84	68.85
chuw1238	Chuwabu	Atlantic-Congo	Africa	180	154	106	68.83
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	77	53	68.83
sons1242	Sonsorol	Austronesian	Papunesia	181	154	106	68.83
iama1237	Iamalele	Austronesian	Papunesia	107	93	64	68.82
etru1241	Etruscan		Eurasia	130	109	75	68.81
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	125	86	68.8
serr1255	Serrano	Uto-Aztecan	North America	183	157	108	68.79
shon1251	Shona	Atlantic-Congo	Africa	182	157	108	68.79
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	112	77	68.75
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	128	88	68.75
umbu1257	Umbundu	Atlantic-Congo	Africa	153	128	88	68.75
worr1237	Worrorra	Worrorran	Australia	151	128	88	68.75
yaul1241	Ulwa (Papua New Guinea)	Keram	Papunesia	188	160	110	68.75
mpot1240	Mpoto	Atlantic-Congo	Africa	173	147	101	68.71
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	147	101	68.71
kana1286	Kanakanavu	Austronesian	Papunesia	147	131	90	68.7
bata1285	Batanga	Atlantic-Congo	Africa	113	99	68	68.69
goon1238	Gooniyandi	Bunaban	Australia	99	83	57	68.67
lemb1266	Lembena	Nuclear Trans New Guinea	Papunesia	175	150	103	68.67
loba1239	Lobala	Atlantic-Congo	Africa	98	83	57	68.67
aree1239	Are	Austronesian	Papunesia	157	134	92	68.66
raut1239	Raute	Sino-Tibetan	Eurasia	133	118	81	68.64
yaoo1241	Yao	Atlantic-Congo	Africa	137	118	81	68.64
mbya1239	Mbyá Guaraní	Tupian	South America	161	137	94	68.61
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	137	94	68.61
cata1286	Catawba	Siouan	North America	125	105	72	68.57
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	70	48	68.57
kurr1243	Kurrama	Pama-Nyungan	Australia	161	140	96	68.57
koka1244	Kokata	Pama-Nyungan	Australia	143	124	85	68.55
nucl1417	Igbo	Atlantic-Congo	Africa	188	159	109	68.55
pang1287	Pangwa	Atlantic-Congo	Africa	167	143	98	68.53
bant1288	Bantoanon	Austronesian	Papunesia	124	108	74	68.52
bond1247	Bondei	Atlantic-Congo	Africa	151	127	87	68.5
patt1248	Pattani	Sino-Tibetan	Eurasia	172	146	100	68.49
term1237	Termanu	Austronesian	Papunesia	172	146	100	68.49
tien1242	Tiene	Atlantic-Congo	Africa	126	111	76	68.47
yora1241	Yora	Pano-Tacanan	South America	129	111	76	68.47
bond1245	Bondo	Austroasiatic	Eurasia	152	130	89	68.46
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	130	89	68.46
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	149	102	68.46
bili1260	Bilin	Afro-Asiatic	Africa	157	133	91	68.42
biwa1243	Biwat	Yuat	Papunesia	153	133	91	68.42
darl1243	Paakantyi	Pama-Nyungan	Australia	45	38	26	68.42
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	76	52	68.42
muss1246	Mussau-Emira	Austronesian	Papunesia	90	76	52	68.42
mwan1247	Mwani	Atlantic-Congo	Africa	157	133	91	68.42
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	95	65	68.42
soga1242	Soga	Atlantic-Congo	Africa	181	155	106	68.39
awap1236	Awa (Papua New Guinea)	Nuclear Trans New Guinea	Papunesia	136	117	80	68.38
lozi1239	Lozi	Atlantic-Congo	Africa	137	117	80	68.38
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	139	95	68.35
gara1269	Garrwa	Garrwan	Australia	94	79	54	68.35
karo1304	Karok		North America	164	139	95	68.35
kuna1268	Kunama		Africa	165	139	95	68.35
thad1238	Thado Chin	Sino-Tibetan	Eurasia	184	158	108	68.35
tswa1255	Tswa	Atlantic-Congo	Africa	162	139	95	68.35
waim1251	Waima	Austronesian	Papunesia	186	158	108	68.35
wood1236	Woods Cree	Algic	North America	162	139	95	68.35
toll1241	Tol	Jicaquean	North America	141	120	82	68.33
elip1238	Elip	Atlantic-Congo	Africa	111	101	69	68.32
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	123	84	68.29
akei1237	Akei	Austronesian	Papunesia	122	104	71	68.27
mill1237	Millcayac	Huarpean	South America	122	104	71	68.27
dehu1237	Dehu	Austronesian	Papunesia	150	126	86	68.25
hehe1240	Hehe	Atlantic-Congo	Africa	144	126	86	68.25
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	148	101	68.24
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	129	88	68.22
mang1404	Mangga Buang	Austronesian	Papunesia	125	107	73	68.22
elmo1238	El Molo	Afro-Asiatic	Africa	171	151	103	68.21
yaak1241	Yaaku	Afro-Asiatic	Africa	177	151	103	68.21
culi1244	Culina	Arawan	South America	179	154	105	68.18
namb1293	Nambo	Yam	Papunesia	182	154	105	68.18
ndam1239	Ndamba	Atlantic-Congo	Africa	180	154	105	68.18
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	132	90	68.18
isna1241	Isnag	Austronesian	Papunesia	163	135	92	68.15
kola1285	Kola	Austronesian	Papunesia	156	135	92	68.15
negi1245	Negidal	Tungusic	Eurasia	160	135	92	68.15
bila1255	Bila	Atlantic-Congo	Africa	134	113	77	68.14
libi1244	Libinza	Atlantic-Congo	Africa	134	113	77	68.14
otta1242	Ottawa	Algic	North America	190	163	111	68.1
gana1278	Ganai	Pama-Nyungan	Australia	53	47	32	68.09
chey1247	Cheyenne	Algic	North America	139	119	81	68.07
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	144	98	68.06
egyp1253	Egyptian Arabic	Afro-Asiatic	Africa	166	144	98	68.06
luva1239	Luvale	Atlantic-Congo	Africa	169	144	98	68.06
chip1241	Chippewa	Algic	North America	171	150	102	68
jahh1242	Jah Hut	Austroasiatic	Eurasia	146	125	85	68
kiow1266	Kiowa	Kiowa-Tanoan	North America	177	150	102	68
nyal1250	Nyali	Atlantic-Congo	Africa	118	100	68	68
mala1481	Manado Malay	Austronesian	Papunesia	178	153	104	67.97
roto1249	Rotokas	North Bougainville	Papunesia	179	153	104	67.97
bugi1244	Buginese	Austronesian	Papunesia	183	156	106	67.95
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	156	106	67.95
amah1246	Amahuaca	Pano-Tacanan	South America	153	131	89	67.94
chic1270	Chickasaw	Muskogean	North America	150	131	89	67.94
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	131	89	67.94
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	159	108	67.92
kona1242	Konai	East Strickland	Papunesia	188	159	108	67.92
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	159	108	67.92
dyan1250	Dyangadi	Pama-Nyungan	Australia	190	162	110	67.9
meng1267	Mengen	Austronesian	Papunesia	98	81	55	67.9
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	137	93	67.88
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	137	93	67.88
tuwu1238	Tuwuli	Atlantic-Congo	Africa	191	165	112	67.88
lika1243	Liko	Atlantic-Congo	Africa	165	140	95	67.86
alor1247	Alorese	Austronesian	Papunesia	168	143	97	67.83
beta1252	Betawi	Austronesian	Papunesia	170	143	97	67.83
cacu1241	Kakua	Kakua-Nukak	South America	168	143	97	67.83
maru1252	Marúbo	Pano-Tacanan	South America	126	115	78	67.83
tomb1244	Tombonuo	Austronesian	Papunesia	136	115	78	67.83
gali1262	Galibi Carib	Cariban	South America	173	146	99	67.81
gusi1247	Gusii	Atlantic-Congo	Africa	173	146	99	67.81
kwam1249	Gwama	Koman	Africa	171	146	99	67.81
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	149	101	67.79
masb1238	Masbatenyo	Austronesian	Papunesia	172	149	101	67.79
bubi1250	Bubi	Atlantic-Congo	Africa	144	121	82	67.77
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	121	82	67.77
muth1236	Muthuvan	Dravidian	Eurasia	143	121	82	67.77
coos1249	Hanis	Coosan	North America	176	152	103	67.76
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	155	105	67.74
coma1245	Comanche	Uto-Aztecan	North America	182	155	105	67.74
pamo1252	Pamona	Austronesian	Papunesia	148	124	84	67.74
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	155	105	67.74
kagu1239	Kagulu	Atlantic-Congo	Africa	186	158	107	67.72
waor1240	Waorani		South America	150	127	86	67.72
esee1248	Ese Ejja	Pano-Tacanan	South America	189	161	109	67.7
jaqa1244	Jaqaru	Aymaran	South America	150	130	88	67.69
mika1239	Mikasuki	Muskogean	North America	147	130	88	67.69
dege1246	Degema	Atlantic-Congo	Africa	189	164	111	67.68
miam1252	Miami	Algic	North America	120	99	67	67.68
timu1262	Timugon Murut	Austronesian	Papunesia	153	133	90	67.67
saaa1241	Sa	Austronesian	Papunesia	162	136	92	67.65
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	136	92	67.65
bura1267	Burarra	Maningrida	Australia	87	71	48	67.61
mamb1294	Mambai	Atlantic-Congo	Africa	168	142	96	67.61
sout2869	Southwest Tanna	Austronesian	Papunesia	166	142	96	67.61
lonw1238	Lonwolwol	Austronesian	Papunesia	126	108	73	67.59
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	145	98	67.59
pagi1243	Pagibete	Atlantic-Congo	Africa	170	145	98	67.59
saba1268	Sabanê	Nambiquaran	South America	169	145	98	67.59
kwom1262	Kwoma	Sepik	Papunesia	174	148	100	67.57
