Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
caml1239	Camling	Sino-Tibetan	Eurasia	170	164	144	87.8
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	156	135	86.54
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	78	67	85.9
poya1241	Poyanáwa	Pano-Tacanan	South America	50	50	42	84
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
puma1239	Puma	Sino-Tibetan	Eurasia	172	162	135	83.33
thul1246	Thulung	Sino-Tibetan	Eurasia	175	167	139	83.23
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	135	112	82.96
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	54	44	81.48
dura1244	Dura	Sino-Tibetan	Eurasia	171	161	131	81.37
bant1281	Bantawa	Sino-Tibetan	Eurasia	181	169	137	81.07
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	116	94	81.03
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	137	111	81.02
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	168	136	80.95
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	130	105	80.77
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	140	113	80.71
wayu1241	Wayu	Sino-Tibetan	Eurasia	183	175	141	80.57
cald1236	Calderón Highland Quichua	Quechuan	South America	155	144	116	80.56
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	72	58	80.56
kusu1250	Kusunda		Eurasia	173	162	130	80.25
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	141	113	80.14
dara1250	Darai	Indo-European	Eurasia	178	171	137	80.12
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	160	128	80
avac1239	Avá-Canoeiro	Tupian	South America	153	144	115	79.86
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	94	75	79.79
dumi1241	Dumi	Sino-Tibetan	Eurasia	166	158	126	79.75
than1259	Thangmi	Sino-Tibetan	Eurasia	177	165	131	79.39
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	164	130	79.27
muth1236	Muthuvan	Dravidian	Eurasia	143	135	107	79.26
maru1252	Marúbo	Pano-Tacanan	South America	126	125	99	79.2
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	153	121	79.08
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	100	79	79
mill1237	Millcayac	Huarpean	South America	122	119	94	78.99
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	109	86	78.9
khal1275	Khaling	Sino-Tibetan	Eurasia	168	160	126	78.75
tuvi1240	Tuvinian	Turkic	Eurasia	154	145	114	78.62
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	154	121	78.57
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	112	88	78.57
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	153	120	78.43
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	162	127	78.4
chen1255	Chenchu	Dravidian	Eurasia	180	171	134	78.36
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	175	137	78.29
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	161	126	78.26
puqu1242	Puquina		South America	118	114	89	78.07
garo1247	Garo	Sino-Tibetan	Eurasia	164	155	121	78.06
guru1261	Gurung	Sino-Tibetan	Eurasia	174	168	131	77.98
even1260	Even	Tungusic	Eurasia	141	136	106	77.94
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	163	127	77.91
koya1251	Koya	Dravidian	Eurasia	137	131	102	77.86
raut1239	Raute	Sino-Tibetan	Eurasia	133	131	102	77.86
suru1262	Suruí	Tupian	South America	18	18	14	77.78
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	153	119	77.78
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	94	73	77.66
nort2952	Northeast Maidu	Maiduan	North America	161	152	118	77.63
limb1266	Limbu	Sino-Tibetan	Eurasia	140	134	104	77.61
pano1255	Panobo	Pano-Tacanan	South America	163	156	121	77.56
kork1243	Korku	Austroasiatic	Eurasia	133	129	100	77.52
juan1238	Juang	Austroasiatic	Eurasia	150	142	110	77.46
duru1236	Duruwa	Dravidian	Eurasia	121	115	89	77.39
kulu1253	Kulung (Nepal)	Sino-Tibetan	Eurasia	168	159	123	77.36
uruu1244	Uru	Uru-Chipaya	South America	170	159	123	77.36
beto1236	Betoi-Jirara		South America	130	128	99	77.34
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	136	105	77.21
amar1274	Amarakaeri	Harakmbut	South America	154	149	115	77.18
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	140	108	77.14
mika1239	Mikasuki	Muskogean	North America	147	140	108	77.14
yawa1260	Yawanawa	Pano-Tacanan	South America	148	140	108	77.14
telu1262	Telugu	Dravidian	Eurasia	127	122	94	77.05
amah1246	Amahuaca	Pano-Tacanan	South America	153	148	114	77.03
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	57	77.03
drun1238	Drung	Sino-Tibetan	Eurasia	182	174	134	77.01
bahi1252	Bahing	Sino-Tibetan	Eurasia	161	152	117	76.97
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	165	127	76.97
mara1396	Mararit	Tamaic	Africa	92	91	70	76.92
suru1261	Suruí Do Pará	Tupian	South America	68	65	50	76.92
west2418	Western Magar	Sino-Tibetan	Eurasia	195	182	140	76.92
kota1263	Kota (India)	Dravidian	Eurasia	158	151	116	76.82
sant1410	Santali	Austroasiatic	Eurasia	155	146	112	76.71
achu1247	Achumawi	Palaihnihan	North America	106	103	79	76.7
yukp1241	Yukpa	Cariban	South America	106	103	79	76.7
sanm1289	San Martín Quechua	Quechuan	South America	171	163	125	76.69
toda1252	Toda	Dravidian	Eurasia	139	133	102	76.69
east2773	Eastern Newari	Sino-Tibetan	Eurasia	190	180	138	76.67
leco1242	Leco		South America	162	154	118	76.62
woun1238	Woun Meu	Chocoan	South America	150	141	108	76.6
idum1241	Idu	Sino-Tibetan	Eurasia	151	145	111	76.55
bada1257	Badaga	Dravidian	Eurasia	127	119	91	76.47
mala1463	Malavedan	Dravidian	Eurasia	163	153	117	76.47
omii1238	Omi	Central Sudanic	Africa	18	17	13	76.47
thur1254	Thurawal	Pama-Nyungan	Australia	86	85	65	76.47
wamb1257	Wambule	Sino-Tibetan	Eurasia	189	178	136	76.4
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	165	126	76.36
walm1241	Walmajarri	Pama-Nyungan	Australia	57	55	42	76.36
meen1242	Me'en	Surmic	Africa	167	160	122	76.25
saba1268	Sabanê	Nambiquaran	South America	169	160	122	76.25
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	164	125	76.22
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	143	109	76.22
pawa1255	Pawaia		Papunesia	110	109	83	76.15
kaki1249	Kaki Ae		Papunesia	138	134	102	76.12
wash1253	Washo		North America	152	142	108	76.06
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	146	111	76.03
achu1248	Achuar-Shiwiar	Chicham	South America	183	171	130	76.02
korr1238	Korra Koraga	Dravidian	Eurasia	133	125	95	76
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	166	126	75.9
aika1237	Aikanã		South America	90	87	66	75.86
mund1320	Mundari	Austroasiatic	Eurasia	156	149	113	75.84
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	124	94	75.81
saur1249	Sauria Paharia	Dravidian	Eurasia	179	169	128	75.74
cent2126	Central Okinawan	Japonic	Eurasia	153	144	109	75.69
koir1240	Koireng	Sino-Tibetan	Eurasia	155	144	109	75.69
even1259	Evenki	Tungusic	Eurasia	158	152	115	75.66
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	152	115	75.66
capa1241	Capanahua	Pano-Tacanan	South America	171	164	124	75.61
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	172	130	75.58
yami1256	Yaminahua	Pano-Tacanan	South America	182	172	130	75.58
arch1244	Archi	Nakh-Daghestanian	Eurasia	148	143	108	75.52
kuma1280	Kuman	Nuclear Trans New Guinea	Papunesia	153	147	111	75.51
bili1260	Bilin	Afro-Asiatic	Africa	157	151	114	75.5
esse1238	Esselen		North America	110	106	80	75.47
imba1240	Imbabura Highland Quichua	Quechuan	South America	192	179	135	75.42
siaw1243	Siawi	Amto-Musan	Papunesia	123	118	89	75.42
yora1241	Yora	Pano-Tacanan	South America	129	122	92	75.41
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	65	49	75.38
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	134	101	75.37
asur1254	Asuri	Austroasiatic	Eurasia	149	142	107	75.35
teda1241	Tedaga	Saharan	Africa	160	154	116	75.32
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	182	137	75.27
cogu1240	Cogui	Chibchan	South America	141	137	103	75.18
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	153	115	75.16
siks1238	Siksika	Algic	North America	162	153	115	75.16
weri1253	Weri	Goilalan	Papunesia	165	157	118	75.16
newa1246	Kathmandu Valley Newari	Sino-Tibetan	Eurasia	179	169	127	75.15
gily1242	Amur Nivkh	Nivkh	Eurasia	183	173	130	75.14
aben1249	Abenlen Ayta	Austronesian	Papunesia	90	84	63	75
chey1247	Cheyenne	Algic	North America	139	136	102	75
guri1248	Guriaso		Papunesia	24	24	18	75
hunz1247	Hunzib	Nakh-Daghestanian	Eurasia	170	164	123	75
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	140	105	75
konk1267	Konkan Marathi	Indo-European	Eurasia	180	172	129	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
nyun1247	Nyunga	Pama-Nyungan	Australia	26	24	18	75
thak1245	Thakali	Sino-Tibetan	Eurasia	193	180	135	75
ulch1241	Ulch	Tungusic	Eurasia	164	156	117	75
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	179	134	74.86
chot1239	Chothe	Sino-Tibetan	Eurasia	176	167	125	74.85
koda1255	Kodava	Dravidian	Eurasia	182	171	128	74.85
thad1238	Thado Chin	Sino-Tibetan	Eurasia	184	171	128	74.85
chuk1273	Chukchi	Chukotko-Kamchatkan	Eurasia	195	182	136	74.73
chir1283	Chiru	Sino-Tibetan	Eurasia	170	162	121	74.69
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	79	59	74.68
khin1240	Khinalug	Nakh-Daghestanian	Eurasia	153	150	112	74.67
raji1240	Raji	Sino-Tibetan	Eurasia	153	146	109	74.66
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	53	74.65
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	134	100	74.63
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	130	97	74.62
ngan1291	Nganasan	Uralic	Eurasia	194	181	135	74.59
nucl1305	Kannada	Dravidian	Eurasia	191	181	135	74.59
cams1241	Camsá		South America	124	118	88	74.58
erzy1239	Erzya	Uralic	Eurasia	190	177	132	74.58
gang1266	Gangte	Sino-Tibetan	Eurasia	184	173	129	74.57
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	165	123	74.55
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	153	114	74.51
yaey1239	Yaeyama	Japonic	Eurasia	155	149	111	74.5
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	137	102	74.45
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	137	102	74.45
arao1248	Araona	Pano-Tacanan	South America	193	180	134	74.44
kenu1236	Kenuzi-Dongola	Nubian	Africa	193	180	134	74.44
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	168	125	74.4
mola1238	Molale		North America	174	164	122	74.39
nezp1238	Nez Perce	Sahaptian	North America	176	164	122	74.39
mbya1239	Mbyá Guaraní	Tupian	South America	161	152	113	74.34
kala1400	Central Kalapuya	Kalapuyan	North America	139	136	101	74.26
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	167	124	74.25
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	163	121	74.23
nort2980	North Junín Quechua	Quechuan	South America	175	163	121	74.23
chep1245	Chepang	Sino-Tibetan	Eurasia	163	155	115	74.19
loup1243	Loup A	Algic	North America	132	124	92	74.19
moyo1238	Moyon	Sino-Tibetan	Eurasia	167	155	115	74.19
tulu1258	Tulu	Dravidian	Eurasia	163	155	115	74.19
oriy1255	Odia	Indo-European	Eurasia	193	182	135	74.18
lakk1252	Lak	Nakh-Daghestanian	Eurasia	158	147	109	74.15
toto1302	Toto	Sino-Tibetan	Eurasia	155	147	109	74.15
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	174	129	74.14
sout2996	Southern Aymara	Aymaran	South America	186	174	129	74.14
furr1244	Fur	Furan	Africa	182	170	126	74.12
hame1242	Hamer-Banna	South Omotic	Africa	173	166	123	74.1
mudu1239	Muduga	Dravidian	Eurasia	161	154	114	74.03
cahu1264	Cahuilla	Uto-Aztecan	North America	190	177	131	74.01
coca1259	Cocama-Cocamilla	Tupian	South America	188	177	131	74.01
cani1243	Canichana		South America	50	50	37	74
pura1257	Purari		Papunesia	158	150	111	74
chic1270	Chickasaw	Muskogean	North America	150	146	108	73.97
cata1286	Catawba	Siouan	North America	125	119	88	73.95
kiow1266	Kiowa	Kiowa-Tanoan	North America	177	165	122	73.94
nucl1593	Kwomtari	Kwomtari-Nai	Papunesia	175	165	122	73.94
skol1241	Skolt Saami	Uralic	Eurasia	192	180	133	73.89
nort2961	Northwestern Ojibwa	Algic	North America	189	176	130	73.86
maga1260	Magahi	Indo-European	Eurasia	136	130	96	73.85
chug1252	Duhumbi	Sino-Tibetan	Eurasia	184	172	127	73.84
pech1241	Pech	Chibchan	North America	144	141	104	73.76
pich1237	Pichis Ashéninka	Arawakan	South America	148	141	104	73.76
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	99	73	73.74
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	156	115	73.72
chol1284	Cholón	Hibito-Cholon	South America	181	171	126	73.68
nort2864	Wemale	Austronesian	Papunesia	76	76	56	73.68
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	152	112	73.68
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	148	109	73.65
take1257	Takelma		North America	173	163	120	73.62
wyan1247	Huron-Wyandot	Iroquoian	North America	111	106	78	73.58
hooo1248	Ho	Austroasiatic	Eurasia	149	140	103	73.57
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	174	128	73.56
japh1234	Japhug	Sino-Tibetan	Eurasia	185	174	128	73.56
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	121	89	73.55
coos1249	Hanis	Coosan	North America	176	170	125	73.53
gale1259	Galela	North Halmahera	Papunesia	143	136	100	73.53
mala1522	Malayo	Chibchan	South America	157	151	111	73.51
tong1329	Tongva	Uto-Aztecan	North America	162	151	111	73.51
tama1331	Tama (Chad)	Tamaic	Africa	139	132	97	73.48
west2392	Western Mari	Uralic	Eurasia	153	147	108	73.47
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	162	119	73.46
haka1240	Haka Chin	Sino-Tibetan	Eurasia	170	162	119	73.46
plai1258	Plains Cree	Algic	North America	174	162	119	73.46
nort2722	Northern Qiang	Sino-Tibetan	Eurasia	187	177	130	73.45
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	128	94	73.44
jaqa1244	Jaqaru	Aymaran	South America	150	143	105	73.43
lese1243	Lese	Central Sudanic	Africa	150	143	105	73.43
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	173	127	73.41
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	109	80	73.39
fore1265	Forest Enets	Uralic	Eurasia	193	180	132	73.33
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	180	132	73.33
shol1240	Sholaga	Dravidian	Eurasia	172	161	118	73.29
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	172	126	73.26
lush1249	Mizo	Sino-Tibetan	Eurasia	182	172	126	73.26
shix1238	Shixing	Sino-Tibetan	Eurasia	182	172	126	73.26
tara1313	Tarao	Sino-Tibetan	Eurasia	166	157	115	73.25
alab1237	Alabama	Muskogean	North America	177	168	123	73.21
dizi1235	Dizin	Dizoid	Africa	57	56	41	73.21
gbay1278	Gbayi	Atlantic-Congo	Africa	58	56	41	73.21
east2545	Eastern Pomo	Pomoan	North America	163	153	112	73.2
guan1266	Khroskyabs	Sino-Tibetan	Eurasia	191	179	131	73.18
sout2728	Southern Qiang	Sino-Tibetan	Eurasia	192	179	131	73.18
shan1283	Shanenawa	Pano-Tacanan	South America	171	164	120	73.17
waim1253	Waimiri-Atroari	Cariban	South America	127	123	90	73.17
chak1270	Chak	Sino-Tibetan	Eurasia	188	175	128	73.14
daza1242	Dazaga	Saharan	Africa	180	171	125	73.1
ersu1241	Ersu	Sino-Tibetan	Eurasia	195	182	133	73.08
nana1257	Nanai	Tungusic	Eurasia	195	182	133	73.08
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	156	114	73.08
tami1289	Tamil	Dravidian	Eurasia	195	182	133	73.08
omie1241	Ömie	Koiarian	Papunesia	156	152	111	73.03
ruka1240	Rukai	Austronesian	Papunesia	191	178	130	73.03
kuvi1243	Kuvi	Dravidian	Eurasia	103	100	73	73
situ1238	Situ	Sino-Tibetan	Eurasia	185	174	127	72.99
umes1235	Ume Saami	Uralic	Eurasia	183	174	127	72.99
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	85	62	72.94
rutu1240	Rutul	Nakh-Daghestanian	Eurasia	143	133	97	72.93
shua1257	Shuar	Chicham	South America	147	144	105	72.92
ayac1239	Ayacucho Quechua	Quechuan	South America	166	155	113	72.9
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	155	113	72.9
bujh1238	Bujhyal	Sino-Tibetan	Eurasia	179	166	121	72.89
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	166	121	72.89
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	140	102	72.86
yong1270	Narua	Sino-Tibetan	Eurasia	160	151	110	72.85
gali1262	Galibi Carib	Cariban	South America	173	162	118	72.84
kurt1248	Kurtokha	Sino-Tibetan	Eurasia	98	92	67	72.83
miam1252	Miami	Algic	North America	120	114	83	72.81
orok1265	Orok	Tungusic	Eurasia	151	147	107	72.79
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	143	104	72.73
kore1280	Korean	Koreanic	Eurasia	185	176	128	72.73
puri1258	Purik-Sham-Nubra	Sino-Tibetan	Eurasia	189	176	128	72.73
arhu1242	Arhuaco	Chibchan	South America	156	150	109	72.67
buru1296	Burushaski		Eurasia	159	150	109	72.67
dand1238	Dandami Maria	Dravidian	Eurasia	161	150	109	72.67
karb1241	Hills Karbi	Sino-Tibetan	Eurasia	157	150	109	72.67
pawn1254	Pawnee	Caddoan	North America	156	150	109	72.67
peng1244	Pengo	Dravidian	Eurasia	171	161	117	72.67
tonk1249	Tonkawa		North America	156	150	109	72.67
araw1273	Araweté	Tupian	South America	148	139	101	72.66
nort2951	Northwest Maidu	Maiduan	North America	142	139	101	72.66
nort2745	Northern Yukaghir	Yukaghir	Eurasia	191	179	130	72.63
kony1248	Konyak Naga	Sino-Tibetan	Eurasia	175	168	122	72.62
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	157	114	72.61
klam1254	Klamath-Modoc		North America	164	157	114	72.61
argo1244	Argobba	Afro-Asiatic	Africa	184	175	127	72.57
taba1263	Tabaru	North Halmahera	Papunesia	176	164	119	72.56
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	91	66	72.53
moks1248	Moksha	Uralic	Eurasia	195	182	132	72.53
moch1259	Mochica		South America	139	131	95	72.52
byan1241	Byangsi	Sino-Tibetan	Eurasia	182	171	124	72.51
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	160	116	72.5
afar1241	Afar	Afro-Asiatic	Africa	188	178	129	72.47
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	178	129	72.47
mana1288	Manange	Sino-Tibetan	Eurasia	191	178	129	72.47
east2516	East Kewa	Nuclear Trans New Guinea	Papunesia	179	167	121	72.46
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	127	92	72.44
lotu1250	Lotud	Austronesian	Papunesia	132	127	92	72.44
niha1238	Nihali		Eurasia	164	156	113	72.44
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	156	113	72.44
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	174	126	72.41
yaki1237	Northwest Sahaptin	Sahaptian	North America	187	174	126	72.41
ines1240	Ineseño	Chumashan	North America	173	163	118	72.39
mila1245	Milang	Sino-Tibetan	Eurasia	193	181	131	72.38
guam1248	Guambiano	Barbacoan	South America	127	123	89	72.36
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	141	102	72.34
maca1259	Macaguán	Guahiboan	South America	49	47	34	72.34
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	159	115	72.33
yona1241	Yonaguni	Japonic	Eurasia	164	159	115	72.33
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	177	128	72.32
aree1239	Are	Austronesian	Papunesia	157	148	107	72.3
kada1242	Kadar	Dravidian	Eurasia	156	148	107	72.3
kari1254	Kariri		South America	177	166	120	72.29
bash1264	Bashkir	Turkic	Eurasia	161	155	112	72.26
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	155	112	72.26
pemo1248	Pemon	Cariban	South America	161	155	112	72.26
sara1331	Saraveca	Arawakan	South America	19	18	13	72.22
cofa1242	Cofán		South America	137	133	96	72.18
tepe1278	Tepecano	Uto-Aztecan	North America	121	115	83	72.17
namu1246	Namuyi	Sino-Tibetan	Eurasia	173	165	119	72.12
seve1240	Severn Ojibwa	Algic	North America	176	165	119	72.12
guan1269	Kotiria	Tucanoan	South America	157	147	106	72.11
kash1277	Kashmiri	Indo-European	Eurasia	184	179	129	72.07
ludi1246	Ludian	Uralic	Eurasia	192	179	129	72.07
patt1248	Pattani	Sino-Tibetan	Eurasia	172	161	116	72.05
atak1252	Atakapa		North America	149	143	103	72.03
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	143	103	72.03
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	168	121	72.02
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	157	113	71.97
kafa1242	Kafa	Ta-Ne-Omotic	Africa	167	157	113	71.97
west2415	Western Tamang	Sino-Tibetan	Eurasia	170	164	118	71.95
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	164	118	71.95
opat1246	Teguima	Uto-Aztecan	North America	120	114	82	71.93
serr1255	Serrano	Uto-Aztecan	North America	183	171	123	71.93
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	146	105	71.92
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	178	128	71.91
bara1361	Barambu	Atlantic-Congo	Africa	128	121	87	71.9
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	121	87	71.9
west2632	Western Keres	Keresan	North America	161	153	110	71.9
dido1241	Tsez	Nakh-Daghestanian	Eurasia	170	160	115	71.88
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	96	69	71.88
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	135	97	71.85
cher1273	Cherokee	Iroquoian	North America	184	174	125	71.84
surg1248	Surgut Khanty	Uralic	Eurasia	186	174	125	71.84
cusc1236	Cusco Quechua	Quechuan	South America	167	156	112	71.79
etru1241	Etruscan		Eurasia	130	124	89	71.77
crim1257	Crimean Tatar	Turkic	Eurasia	179	170	122	71.76
kinn1249	Kinnauri	Sino-Tibetan	Eurasia	188	177	127	71.75
wood1236	Woods Cree	Algic	North America	162	152	109	71.71
khva1239	Khwarshi-Inkhoqwari	Nakh-Daghestanian	Eurasia	169	159	114	71.7
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	173	124	71.68
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	173	124	71.68
komb1274	Kombai	Nuclear Trans New Guinea	Papunesia	182	173	124	71.68
baim1244	Baima	Sino-Tibetan	Eurasia	193	180	129	71.67
chuv1255	Chuvash	Turkic	Eurasia	193	180	129	71.67
mara1378	Marathi	Indo-European	Eurasia	190	180	129	71.67
siri1274	Siriano	Tucanoan	South America	122	120	86	71.67
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	127	91	71.65
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	141	101	71.63
oroc1248	Oroch	Tungusic	Eurasia	162	155	111	71.61
male1284	Male (Ethiopia)	Ta-Ne-Omotic	Africa	182	169	121	71.6
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	176	126	71.59
veps1250	Veps	Uralic	Eurasia	188	176	126	71.59
chim1309	Chimila	Chibchan	South America	136	130	93	71.54
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	151	108	71.52
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	158	113	71.52
apma1241	Ap Ma	Keram	Papunesia	126	119	85	71.43
biri1256	Biri	Pama-Nyungan	Australia	146	140	100	71.43
bona1250	Bonan	Mongolic-Khitan	Eurasia	171	161	115	71.43
cane1242	Canela-Krahô	Nuclear-Macro-Je	South America	173	168	120	71.43
cent2322	Central Mansi	Uralic	Eurasia	185	175	125	71.43
kwam1249	Gwama	Koman	Africa	171	161	115	71.43
lend1245	Lendu	Central Sudanic	Africa	159	154	110	71.43
mids1243	Mid-Southern Banda	Atlantic-Congo	Africa	123	119	85	71.43
mpii1239	Mpi	Sino-Tibetan	Eurasia	174	168	120	71.43
nucl1301	Turkish	Turkic	Eurasia	195	182	130	71.43
nucl1633	Nimboran	Nimboranic	Papunesia	171	161	115	71.43
oksa1245	Oksapmin	Nuclear Trans New Guinea	Papunesia	184	175	125	71.43
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	14	10	71.43
wiru1244	Wiru		Papunesia	180	168	120	71.43
cent2131	Central Tarahumara	Uto-Aztecan	North America	178	171	122	71.35
choc1276	Choctaw	Muskogean	North America	190	178	127	71.35
galo1242	Galo	Sino-Tibetan	Eurasia	179	171	122	71.35
bund1253	Bundeli	Indo-European	Eurasia	173	164	117	71.34
chit1248	Chitimacha		North America	167	157	112	71.34
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	164	117	71.34
nung1282	Nung (Myanmar)	Sino-Tibetan	Eurasia	170	157	112	71.34
cota1241	Cotabato Manobo	Austronesian	Papunesia	145	136	97	71.32
doma1260	Domaaki	Indo-European	Eurasia	144	136	97	71.32
boru1252	Boruca	Chibchan	North America	117	115	82	71.3
isco1239	Isconahua	Pano-Tacanan	South America	192	181	129	71.27
cree1270	Creek	Muskogean	North America	185	174	124	71.26
hrus1242	Hruso		Eurasia	89	87	62	71.26
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	80	57	71.25
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	160	114	71.25
awet1244	Awetí	Tupian	South America	161	153	109	71.24
dadi1250	Dadibi	Teberan	Papunesia	164	153	109	71.24
negi1245	Negidal	Tungusic	Eurasia	160	153	109	71.24
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	153	109	71.24
west2386	Western Panjabi	Indo-European	Eurasia	150	139	99	71.22
reye1240	Reyesano	Pano-Tacanan	South America	139	132	94	71.21
nara1262	Nara		Africa	132	125	89	71.2
maxa1247	Maxakalí	Nuclear-Macro-Je	South America	181	170	121	71.18
